kod,nazev,dop
1,I. stupeň,mimovolní únik moči nad 50 ml do 100 ml (včetně) v průběhu 24 hodin
2,II. stupeň,mimovolní únik moči nad 100 ml do 200 ml (včetně) v průběhu 24 hodin + fekální inkontinence
3,III. stupeň,mimovolní únik moči nad 200 ml v průběhu 24 hodin + smíšená inkontinence
