kod,pkod,naz,dop,pro,typ,mjd,mj,tbal,vyr,zem,ohl,uhr1,lim1,ome1,uhr2,lim2,ome2,uhr3,lim3,ome3,mfc,dnc,uhs,upo,uhp,udoks,udo,skp,dat,kat,rp1,rp2,rp3,rp4,rp5,riziko,typ_pomucky,vek_od,vek_do,kod_sklo
5018958,0000000,ACTREEN LITE CATH,"STERILNÍ, POTAHOVANÝ KATETR, TIEMANN, CH 14, 45CM, 30 KS",P,02,30,ks,bal,B61,IT,B. Braun Medical s.r.o.,1444.80,,"NEF, URN",0.00,,,0.00,,,1444.80,,02.03.01.03,,,210,1,,2026-01-01,,,,,,,,,,,
5018963,0000000,ACTREEN LITE CATH,"STERILNÍ, POTAHOVANÝ KATETR, NELATON, CH 12, 45CM, 30 KS",P,02,30,ks,bal,B61,IT,B. Braun Medical s.r.o.,1444.80,,"NEF, URN",0.00,,,0.00,,,1444.80,,02.03.01.03,,,210,1,,2026-01-01,,,,,,,,,,,
5018969,0000000,ACTREEN LITE CATH,"STERILNÍ, POTAHOVANÝ KATETR, NELATON, CH 10, 20 CM, 30 KS",P,02,30,ks,bal,B61,IT,B. Braun Medical s.r.o.,1444.80,,"NEF, URN",0.00,,,0.00,,,1444.80,,02.03.01.03,,,210,1,,2026-01-01,,,,,,,,,,,
5018981,0000000,ACTREEN GLYS SET,"STERILNÍ, POTAHOVANÝ KATETR S INTEGROVANÝM SÁČKEM, NELATON, CH 08, 50 CM, 30 KS",P,02,30,ks,bal,B61,IT,B. Braun Medical s.r.o.,1747.20,,"NEF, URN",0.00,,,0.00,,,1747.20,,02.03.02.02,,,210,1,,2026-01-01,,,,,,,,,,,
5018986,0000000,ACTREEN GLYS SET,"STERILNÍ, POTAHOVANÝ KATETR S INTEGROVANÝM SÁČKEM, NELATON, CH 18, 50 CM, 30 KS",P,02,30,ks,bal,B61,IT,B. Braun Medical s.r.o.,1747.20,,"NEF, URN",0.00,,,0.00,,,1747.20,,02.03.02.02,,,210,1,,2026-01-01,,,,,,,,,,,
5018742,0000000,ASKINA DRESSIL ACTIVE BORDER,ABSORPČNÍ PĚNOVÉ KRYTÍ SE SILIKONOVOU VRSTVOU 10X10 CM (10 KS BAL.),P,01,1000,cm2,bal,A76,CN,B. Braun Medical s.r.o.,2430.40,Z,,0.00,,,0.00,,,2430.40,,01.02.07.04,,,,,,2025-11-01,,,,,,,,,,,
5018635,0000000,NETTI PRECISION 2,"ANTIDEKUBITNÍ SEDÁK, VYSOKÉ RIZIKO, ZVÝŠENÉ ODLEHČENÍ TLAKU NA KOSTRČ A PÁN. DNO",P,07,1,ks,bal,982,NO,MEYRA ČR s.r.o.,7304.64,Z,"GER, NEU, ORT, PRL, REH",0.00,,,0.00,,,13490.00,,07.06.02.03,,,1,36,,2025-10-01,,,,,,,,,,,
5018618,0000000,"Pooperační obuv ""Mars""",Obuv pro odlehčení paty,P,04,1,ks,ks,B64,DE,"ORTHO-AKTIV, spol. s r.o.",487.20,,"DIA, ORP, POP, ORT, REH, CHI",0.00,,,0.00,,,2271.50,,04.07.01.01,,,1,12,,2025-10-01,,,,,,,,,,,
5018624,0000000,Lancety MEDSUN,"Sterilní jednorázové lancety, 100 ks",P,05,100,ks,ks,B68,CN,Lorex Distribution s.r.o.,292.32,,"DIA, INT, PRL, J4",0.00,,,0.00,,,292.32,,05.01.02.01,,,,,,2025-10-01,,,,,,,,,,,
5018531,0000000,SENSOVISC 75mg/3ml,"INTRAARTIKULÁRNÍ INJEKCE, HRAZENA 1 APLIKACE DO 1 KLOUBU/6 MĚS. P",P,11,1,ks,bal,338,TR,Archie Samuel s.r.o.,1544.48,,"ORT, REV",0.00,,,0.00,,,3088.96,,11,,50.00,1,6,,2025-08-01,,,,,,,,,,,
5017104,0000000,AirFit™ F20 Non Magnetic,"velikost: S, M, L",P,10,1,ks,ks,B33,AU,ResMed CZ s.r.o.,3895.36,,"NEU, INT, KAR, ORL, PNE, PSY, ANS",0.00,,,0.00,,,4861.32,,10.04.04.05,,90.00,2,12,,2024-06-01,,,,,,,,,,,
5017008,0000000,Mepilex Border Flex,"12,5x12,5 cm, 10 ks, samolepící absorpční pěnové krytí se silikonovou vrstvou",P,01,1562.5,cm2,bal,MOL,SE,"Mölnlycke Health Care, s.r.o.",3797.50,Z,,0.00,,,0.00,,,3797.50,,01.02.07.04,,,,,,2025-07-01,,,,,,,,,,,
5019085,0000000,NÁSTAVEC STUPAČKY ZVYŠOVACÍ,PŘÍSLUŠENSTVÍ KE KOČÁRKU ZDRAVOTNÍMU,P,07,1,ks,bal,PAT,CZ,PATRON Bohemia a.s.,3114.00,Z,"NEU, ORT, REH",0.00,,,0.00,,,3460.00,,07.02.05.01,,90.00,1,36,,2026-02-01,,,,,,,,,,,
5019087,0000000,PŘÍSLUŠENSTVÍ K ELEKTRICKÉMU POJÍZDNÉMU STAVĚCÍMU ZVEDÁKU ,STAVĚCÍ KURT S FIXACÍ HRUDNÍKU,P,07,1,ks,bal,MDA,PL,MEYRA ČR s.r.o.,2922.00,Z,"GER, NEU, INT, ORT, PRL, REH",0.00,,,0.00,,,2922.00,,07.05.03.02,,,1,36,,2026-02-01,,,,,,,,,,,
5019077,0000000,JAY ZIP+ ,SEDACÍ POLŠTÁŘ PRO VYSOKÉ RIZIKO VZNIKU DEKUBITŮ,P,07,1,ks,bal,B85,GB,MEDICCO s.r.o.,5600.00,Z,"GER, NEU, ORT, PRL, REH",0.00,,,0.00,,,5600.00,,07.06.02.03,,,1,36,,2026-02-01,,,,,,,,,,,
5019046,0000000,Nürofoam® Non-adhesive PHMB 10 x 20 cm,"Pěnové krytí, s účinnou látkou PHMB, antimikrobiální, nelepící, 10×20 cm, 10ks",P,01,2000,cm2,bal,988,GB,Alice Bryksová,4860.80,Z,,0.00,,,0.00,,,4860.80,,01.02.07.06,,,,,,2026-02-01,,,,,,,,,,,
5018311,0000000,PELOTY BOČNÍ,"PELOTY BOČNÍ, ODKLOPNÉ - PŘÍSLUŠENSTVÍ REA CLEMATIS PRO",P,07,2,ks,bal,B58,FR,SIVAK medical technology s.r.o.,8091.00,Z,"PED, NEU, INT, ORT, REH",0.00,,,0.00,,,8990.00,,07.01.03.01,R,90.00,1,60,,2025-06-01,,,,,,,,,,,
5018255,0000000,RespiForm+,Podpora zápěstí a palce se 2 kovovými dlahami,P,04,1,ks,ks,DJY,US,Fidia Pharma CZ s.r.o.,340.48,,"ORP, NEU, ORT, REH, CHI, REV, TVL, TRA",0.00,,,0.00,,,990.01,,04.03.02.01,,,1,12,,2025-05-01,,,,,,,,,,,
5018254,0000000,Robooter E60proA,"Elektrický vozík, BBR-E60-04",P,07,1,ks,bal,B60,CN,AdveSt s.r.o.,104120.66,Z,"NEU, ORT, REH",0.00,,,0.00,,,104120.66,,07.01.02.03,R,,1,84,,2025-05-01,,,,,,,,,,,
5018242,0000000,BANDÁŽ LOKTE NEOPRENOVÁ LA - 705,"VEL. XS/XL, NEOPREN, 1 INTEGROVANÁ PELOTA, 1 ODNÍMATELNÁ PELOTA",P,04,1,ks,ks,070,SK,PROTETIKA  CZ PLUS spol. s r.o.,175.84,,"ORP, NEU, ORT, PRL, REH, CHI, REV, TVL, TRA",0.00,,,0.00,,,213.29,,04.03.03.04,,,1,12,,2025-05-01,,,,,,,,,,,
5018248,0000000,PODLOŽKA DO INVALIDNÍHO VOZÍKU 7945,"POTAH 100% BAVLNA, VÝPLŇ POLYURETANOVÝ GRANULÁT, 45X76CM",P,07,1,ks,bal,070,SK,PROTETIKA  CZ PLUS spol. s r.o.,627.38,,"GER, NEU, ORT, PRL, REH",0.00,,,0.00,,,627.38,,07.06.02.01,,,1,36,,2025-05-01,,,,,,,,,,,
5018241,0000000,HumidAir 11,KOMORA ZVLHČOVAČE,P,10,1,ks,ks,B33,AU,ResMed CZ s.r.o.,2366.60,,"ANS, NEU, INT, KAR, ORL, PNE, PSY",0.00,,,0.00,,,2629.56,,10.04.04.13,,90.00,1,24,,2025-05-01,,,,,,,,,,,
5018231,0000000,Testovací proužky FORA Diamond (TD-4365) pro měření cukru v krvi,"50 ks; pro glukometry FORA Diamond Prima DM10 a Mini DM30b",P,05,50,ks,bal,TDC,TW,MTE spol. s r.o.,292.32,,"DIA, INT, PRL",292.32,,"DIA, INT",0.00,,,292.32,,05.02.02.01,,,2500,12,,2025-05-01,,,,,,,,,,,
5018226,0000000,POTAH BOČNIC,PŘÍSLUŠENSTVÍ KOČÁRU CHILLA R82,P,07,1,ks,bal,R82,DK,"REHA 2015, s.r.o.",4529.32,Z,"NEU, ORT, REH",0.00,,,0.00,,,5032.58,,07.02.05.01,,90.00,1,36,,2026-02-01,,,,,,,,,,,
5018224,0000000,JALOSOME ORAL BARRIER,20 x 10 ml,P,01,200,g,ks,B59,IT,"PHARMCARE CZ, s.r.o.",1232.00,Z,,0.00,,,0.00,,,1232.00,,01.02.13.03,,,,,,2025-04-01,,,,,,,,,,,
5018192,0000000,Zdravotní kočárek Mewa ,Zdravotní kočárek s veškerým příslušenstvím dodávaný v 5 barevných variantách ,P,07,1,ks,bal,971,PL,Vladislav Burda,29217.44,Z,"NEU, ORT, REH",0.00,,,0.00,,,43700.30,,07.02.03.01,,,1,36,,2025-04-01,,,,,,,,,,,
5018223,0000000,ROGUE XP LT,"VOZÍK DĚTSKÝ ODLEHČENÝ VARIABILNÍ, BLATNÍKY, BEZP. KOLEČKO, NAST. HLOUBKA, KRYTY",P,07,1,ks,bal,B19,US,"REHA 2015, s.r.o.",21425.60,Z,"NEU, ORT, REH",0.00,,,0.00,,,61186.11,,07.01.01.07,R,,1,60,,2026-02-01,,,,,,,,,,,
5018204,0000000,Unitron Ativo M,Sluchadlo BTE,P,08,1,ks,ks,903,CH,REJA spol. s r.o.,6817.44,,"FON, ORL",0.00,,,0.00,,,6817.44,,08.01.01.03,,,1,60,S,2025-04-01,,,,,,,,,,,
5017813,0000000,Intuis P 4.7,"Sluchadlo závěsné digitální, 48 kanálů, na baterie",P,08,1,ks,ks,A33,DK,Sivantos s.r.o.,6817.44,,"FON, ORL",0.00,,,0.00,,,32000.01,,08.01.01.03,,,1,60,S,2025-01-01,,,,,,,,,,,
5017852,0000000,TENA SILHOUETTE PLUS BLACK L,"KALHOTKY ABSORPČNÍ NATAHOVACÍ,BOKY 95-125CM,750ML,10KS",P,02,10,ks,bal,SCA,SE,Essity Czech Republic s.r.o.,246.45,,"GER, GYN, PED, NEF, NEU, PRL, SLO, CHI, URN, SDP",275.45,,"GER, PED, NEF, NEU, GYN, PRL, SLO, CHI, URN, SDP",284.15,,"GER, PED, NEF, NEU, GYN, PRL, SLO, CHI, URN, SDP",289.95,,02.01.01.01,,,150,,,2026-01-01,,,,,,,,,,,
5017782,0000000,Active Pro IX,"Sluchadlo zvukovodové digitální, modulové, 48 kanálů, nabíjecí článek",P,08,1,ks,ks,A33,DK,Sivantos s.r.o.,6817.44,,"FON, ORL",0.00,,,0.00,,,36900.01,,08.01.01.04,,,2,60,S,2025-01-01,,,,,,,,,,,
5017666,0000000,"Suprasorb P sensitive, sacrum","17cm x 17,5cm, 10ks",P,01,2975,cm2,bal,A18,CN,"Lohmann & Rauscher, s.r.o.",3960.60,Z,,0.00,,,0.00,,,3960.60,,01.02.07.04,,,,,,2025-09-01,,,,,,,,,,,
5018481,0000000,BrownGuard 100 bandáž klavikulární typ 01,vel. M - L,P,04,1,ks,ks,354,CZ,"ARIES, a.s.",340.48,,"ORP, NEU, ORT, REH, CHI, REV, TRA",0.00,,,0.00,,,490.00,,04.02.01.01,,,1,12,,2025-08-01,,,,,,,,,,,
5018452,0000000,DAILEE SLIP,"MAXI PLUS L/XL, KALHOTKY ABSORPČNÍ ZALEPOVACÍ, 28 KS",P,02,28,ks,bal,DRY,CZ,Drylock Technologies s.r.o.,428.40,,"GER, GYN, PED, NEF, NEU, PRL, SLO, CHI, URN, SDP",478.80,,"GER, PED, NEF, NEU, GYN, PRL, SLO, CHI, URN, SDP",493.92,,"GER, PED, NEF, NEU, GYN, PRL, SLO, CHI, URN, SDP",504.00,,02.01.01.01,,,150,,,2025-08-01,,,,,,,,,,,
5018453,0000000,DAILEE SLIP,"MAXI PLUS XXL, KALHOTKY ABSORPČNÍ ZALEPOVACÍ, 28 KS",P,02,28,ks,bal,DRY,CZ,Drylock Technologies s.r.o.,437.92,,"GER, GYN, PED, NEF, NEU, PRL, SLO, CHI, URN, SDP",532.00,,"GER, PED, NEF, NEU, GYN, PRL, SLO, CHI, URN, SDP",548.80,,"GER, PED, NEF, NEU, GYN, PRL, SLO, CHI, URN, SDP",560.00,,02.01.01.01,,,150,,,2025-08-01,,,,,,,,,,,
5018309,0000000,KLÍN ABDUKČNÍ,KLÍN ABDUKČNÍ - PŘÍSLUŠENSTVÍ REA CLEMATIS PRO,P,07,1,ks,bal,B58,FR,SIVAK medical technology s.r.o.,6291.00,Z,"PED, NEU, INT, ORT, REH",0.00,,,0.00,,,6990.00,,07.01.03.01,R,90.00,1,60,,2025-06-01,,,,,,,,,,,
5017775,0000000,Active IX,"Sluchadlo zvukovodové digitální, modulové, 16 kanálů, nabíjecí článek",P,08,1,ks,bal,A33,DK,Sivantos s.r.o.,9739.52,,FON,0.00,,,0.00,,,13900.01,,08.01.01.01,,,1,60,S,2025-01-01,,,,,,,,,,,
5017615,0000000,KANYLA TRACHEOSTOMICKÁ DURAVENT® UNI LINGO PHON ,"21042,FENESTROVANÁ,2 VNITŘ.KANYLY,STŘÍB.MLUV.VENTIL,15MM KON.VEL.3,5-6.",P,10,1,ks,bal,FAH,DE,Lindcare CZ s.r.o.,974.40,,"FON, ORL, PNE",0.00,,,0.00,,,5546.52,,10.05.01.03,,,6,12,,2024-10-01,,,,,,,,,,,
5017055,0000000,GENESIS AI 16 RIC RT,Sluchadlo závěsné program. dig. RIC s umělou inteligencí 16kanálové dobíjecí,P,08,1,ks,ks,452,US,"ROLANDI, spol. s r.o.",6817.00,,"FON, ORL",0.00,,,0.00,,,35700.00,,08.01.01.03,,,1,60,S,2024-06-01,,,,,,,,,,,
5017057,0000000,GENESIS AI 20 RIC 312,Sluchadlo závěsné programovatelné digitální RIC s umělou inteligencí 20kanálové,P,08,1,ks,ks,452,US,"ROLANDI, spol. s r.o.",6817.00,,"FON, ORL",0.00,,,0.00,,,33340.00,,08.01.01.03,,,1,60,S,2024-06-01,,,,,,,,,,,
5017009,0000000,Mepilex Border Flex,"10x10 cm, 10 ks, samolepící absorpční pěnové krytí se silikonovou vrstvou",P,01,1000,cm2,bal,MOL,SE,"Mölnlycke Health Care, s.r.o.",2430.40,Z,,0.00,,,0.00,,,2430.40,,01.02.07.04,,,,,,2025-07-01,,,,,,,,,,,
5018881,0000000,Motion C&G M 5IX,"Sluchadlo závěsné, 36 kanálů, nabíjecí článek",P,08,1,ks,bal,A33,DK,WS Audiology CZ s.r.o.,9739.52,,FON,0.00,,,0.00,,,24000.00,,08.01.01.02,,,2,60,S,2026-01-01,,,,,,,,,,,
5018899,0000000,Motion C&G P 3IX,"Sluchadlo závěsné, 32 kanálů, nabíjecí článek",P,08,1,ks,ks,A33,DK,WS Audiology CZ s.r.o.,6817.44,,"FON, ORL",0.00,,,0.00,,,14900.00,,08.01.01.04,,,2,60,S,2026-01-01,,,,,,,,,,,
5018895,0000000,Motion C&G P 2IX,"Sluchadlo závěsné, 24 kanálů, nabíjecí článek",P,08,1,ks,ks,A33,DK,WS Audiology CZ s.r.o.,6817.44,,"FON, ORL",0.00,,,0.00,,,11900.00,,08.01.01.04,,,2,60,S,2026-01-01,,,,,,,,,,,
5018885,0000000,Motion C&G M 7IX,"Sluchadlo závěsné, 48 kanálů, nabíjecí článek",P,08,1,ks,bal,A33,DK,WS Audiology CZ s.r.o.,9739.52,,FON,0.00,,,0.00,,,33000.00,,08.01.01.02,,,2,60,S,2026-01-01,,,,,,,,,,,
5018894,0000000,Motion C&G P 2IX,"Sluchadlo závěsné, 24 kanálů, nabíjecí článek",P,08,1,ks,ks,A33,DK,WS Audiology CZ s.r.o.,6817.44,,"FON, ORL",0.00,,,0.00,,,11900.00,,08.01.01.03,,,1,60,S,2026-01-01,,,,,,,,,,,
5018073,0000000,Promogran - matrice modelující proteázu,"28cm2, tvar šestiúhelníku, 10 KS v balení",P,01,280,cm2,bal,945,DE,Aspironix s.r.o.,1909.82,Z,,0.00,,,0.00,,,1909.82,,01.02.09.01,,,,,,2025-02-01,,,,,,,,,,,
5017990,0000000,RP 110 OPĚRKA HLAVY NASTAVITELNÁ,PŘÍSLUŠENSTVÍ K MECHANICKÝM VOZÍKŮM A&I,P,07,1,ks,bal,B49,CN,DMA Praha s.r.o.,2070.00,Z,"PED, NEU, INT, ORT, REH",0.00,,,0.00,,,2300.00,,07.01.03.01,R,90.00,1,60,,2025-02-01,,,,,,,,,,,
5017562,0000000,FLOWASSIST Seal,"Kroužek hydrokoloidní těsnící, vel. M, 23-30 mm, 10 ks",P,03,10,ks,bal,B24,IE,Distrimed s.r.o.,873.60,,"PED, GER, ONK, NEF, INT, PRL, CHI, URN, SDP, SLO",0.00,,,0.00,,,873.60,,03.08.01.01,,,60,1,,2024-09-01,,,,,,,,,,,
5017456,0000000,"ReSound, Nexia, NX5ITC-DWC-MP","Sluchadlo zvukovodové, ITC, dobíjecí, 12 kanálů, wireless, MFi, ASHA, Auracast",P,08,1,ks,bal,154,DK,GN Hearing Czech Republic spol. s r.o.,9739.52,,FON,0.00,,,0.00,,,19903.80,,08.01.01.01,,,1,60,S,2024-08-01,,,,,,,,,,,
5017459,0000000,"ReSound, Nexia, NX5ITC-DWC-MP","Sluchadlo zvukovodové, ITC, dobíjecí, 12 kanálů, wireless, MFi, ASHA, Auracast",P,08,1,ks,ks,154,DK,GN Hearing Czech Republic spol. s r.o.,6817.44,,"FON, ORL",0.00,,,0.00,,,19903.80,,08.01.01.04,,,2,60,S,2024-08-01,,,,,,,,,,,
5017463,0000000,"ReSound, Nexia, NX4ITC-DWC-MP","Sluchadlo zvukovodové, ITC, dobíjecí, 12 kanálů, wireless, MFi, ASHA, Auracast",P,08,1,ks,ks,154,DK,GN Hearing Czech Republic spol. s r.o.,6817.44,,"FON, ORL",0.00,,,0.00,,,14901.60,,08.01.01.04,,,2,60,S,2024-08-01,,,,,,,,,,,
5017471,0000000,"ReSound, Nexia, NX7ITE-DWC-MP","Sluchadlo zvukovodové, ITE, dobíjecí, 14 kanálů, wireless, MFi, ASHA, Auracast",P,08,1,ks,ks,154,DK,GN Hearing Czech Republic spol. s r.o.,6817.44,,"FON, ORL",0.00,,,0.00,,,29905.40,,08.01.01.04,,,2,60,S,2024-08-01,,,,,,,,,,,
5017475,0000000,"ReSound, Nexia, NX5ITE-DWC-MP","Sluchadlo zvukovodové, ITE, dobíjecí, 12 kanálů, wireless, MFi, ASHA, Auracast",P,08,1,ks,ks,154,DK,GN Hearing Czech Republic spol. s r.o.,6817.44,,"FON, ORL",0.00,,,0.00,,,19903.80,,08.01.01.04,,,2,60,S,2024-08-01,,,,,,,,,,,
5017481,0000000,"ReSound, Nexia, NX9CIC-MP","Sluchadlo zvukovodové, CIC, Baterie V10, 17 kanálů",P,08,1,ks,bal,154,DK,GN Hearing Czech Republic spol. s r.o.,9739.52,,FON,0.00,,,0.00,,,39907.00,,08.01.01.02,,,2,60,S,2024-08-01,,,,,,,,,,,
5017486,0000000,"ReSound, Nexia, NX7CIC-MP","Sluchadlo zvukovodové, CIC, Baterie V10, 14 kanálů",P,08,1,ks,ks,154,DK,GN Hearing Czech Republic spol. s r.o.,6817.44,,"FON, ORL",0.00,,,0.00,,,29905.40,,08.01.01.03,,,1,60,S,2024-08-01,,,,,,,,,,,
5017432,0000000,Phonak Terra RIC-312,Sluchadlo RIC,P,08,1,ks,bal,903,CH,REJA spol. s r.o.,7817.44,,FON,0.00,,,0.00,,,7817.44,,08.01.01.02,,,2,60,S,2024-08-01,,,,,,,,,,,
5017341,0000000,"ReSound, Nexia, NX562-DRW","Sluchadlo RIE, Baterie V13, 12 kanálů, wireless, MFi, ASHA, Auracast",P,08,1,ks,bal,154,DK,GN Hearing Czech Republic spol. s r.o.,9739.52,,FON,0.00,,,0.00,,,19903.80,,08.01.01.02,,,2,60,S,2024-08-01,,,,,,,,,,,
5017320,0000000,"ReSound, Nexia, NX761-DRW","Sluchadlo RIE, Baterie V312, 14 kanálů, wireless, MFi, ASHA, Auracast",P,08,1,ks,bal,154,DK,GN Hearing Czech Republic spol. s r.o.,9739.52,,FON,0.00,,,0.00,,,29905.40,,08.01.01.01,,,1,60,S,2024-08-01,,,,,,,,,,,
5017316,0000000,"ReSound, Nexia, NX961-DRW","Sluchadlo RIE, Baterie V312, 17 kanálů, wireless, MFi, ASHA, Auracast",P,08,1,ks,bal,154,DK,GN Hearing Czech Republic spol. s r.o.,9739.52,,FON,0.00,,,0.00,,,39907.00,,08.01.01.01,,,1,60,S,2024-08-01,,,,,,,,,,,
5017305,0000000,Oticon Intent 1,digitální sluchadlo využívající pohybové senzory,P,08,1,ks,bal,B21,DK,"Audit - sluchadla a ORL přístroje, s.r.o.",9739.52,,FON,0.00,,,0.00,,,57001.00,,08.01.01.01,,,1,60,S,2024-08-01,,,,,,,,,,,
5017276,0000000,Phonak Naída L90-SP,Sluchadlo BTE,P,08,1,ks,ks,903,CH,REJA spol. s r.o.,6817.44,,"FON, ORL",0.00,,,0.00,,,45817.44,,08.01.01.03,,,1,60,S,2025-05-01,,,,,,,,,,,
5017251,0000000,STOLEK TERAPEUTICKÝ CLASSIC K POLOH.ZAŘÍZENÍ,PŘÍSLUŠENSTVÍ K POLOHOVACÍM ZAŘÍZENÍM,P,07,1,ks,bal,PAT,CZ,PATRON Bohemia a.s.,5949.00,Z,"NEU, ORT, REH",0.00,,,0.00,,,6610.00,,07.05.02.04,R,90.00,1,84,,2026-01-01,,,,,,,,,,,
5017240,0000000,ROHO QUADTRO SELECT ,"ANTIDEKUBITNÍ SEDÁK 4-KOMOROVÝ S TECHNOLOGIÍ DRY FLOATATION, ŠÍŘE SEDU 52-60 CM",P,07,1,ks,bal,B32,US,ORTOSERVIS s.r.o.,7304.64,Z,"GER, NEU, ORT, PRL, REH",0.00,,,0.00,,,11770.00,,07.06.02.03,,,1,36,,2024-08-01,,,,,,,,,,,
5017561,0000000,FLOWASSIST Seal,"Kroužek hydrokoloidní těsnící, vel. L, 30-40 mm, 10 ks",P,03,10,ks,bal,B24,IE,Distrimed s.r.o.,873.60,,"PED, GER, ONK, NEF, INT, PRL, CHI, URN, SDP, SLO",0.00,,,0.00,,,873.60,,03.08.01.01,,,60,1,,2024-09-01,,,,,,,,,,,
5017508,0000000,PRODLOUŽENÍ HLOUBKY SEDU NA 51 CM,"PŘÍSLUŠENSTVÍ MECHANICKÝCH VOZÍKŮ KIMOBILITY, ROZDÍL CENY",P,07,1,ks,bal,B19,US,ORTOSERVIS s.r.o.,5571.00,Z,"PED, NEU, INT, ORT, REH",0.00,,,0.00,,,6190.00,,07.01.03.01,R,90.00,1,60,,2024-09-01,,,,,,,,,,,
5017507,0000000,ROZŠÍŘENÍ SEDU NA 53 NEBO 56 CM,"PŘÍSLUŠENSTVÍ MECHANICKÝCH VOZÍKŮ KIMOBILITY, ROZDÍL CENY",P,07,1,ks,bal,B19,US,ORTOSERVIS s.r.o.,5679.00,Z,"PED, NEU, INT, ORT, REH",0.00,,,0.00,,,6310.00,,07.01.03.01,R,90.00,1,60,,2024-09-01,,,,,,,,,,,
5017441,0000000,"ReSound, Nexia, NX9ITC-DWC-MP","Sluchadlo zvukovodové, ITC, dobíjecí, 17 kanálů, wireless, MFi, ASHA, Auracast",P,08,1,ks,bal,154,DK,GN Hearing Czech Republic spol. s r.o.,9739.52,,FON,0.00,,,0.00,,,39907.00,,08.01.01.02,,,2,60,S,2024-08-01,,,,,,,,,,,
5017415,0000000,Phonak Terra+ BTE-UP,Sluchadlo BTE,P,08,1,ks,ks,903,CH,REJA spol. s r.o.,6817.44,,"FON, ORL",0.00,,,0.00,,,9817.44,,08.01.01.03,,,1,60,S,2024-08-01,,,,,,,,,,,
5017416,0000000,Phonak Terra+ BTE-UP,Sluchadlo BTE,P,08,1,ks,ks,903,CH,REJA spol. s r.o.,6817.44,,"FON, ORL",0.00,,,0.00,,,9817.44,,08.01.01.04,,,2,60,S,2024-08-01,,,,,,,,,,,
5017427,0000000,Phonak Terra+ BTE-M,Sluchadlo BTE,P,08,1,ks,bal,903,CH,REJA spol. s r.o.,9739.52,,FON,0.00,,,0.00,,,9817.44,,08.01.01.01,,,1,60,S,2024-08-01,,,,,,,,,,,
5017400,0000000,Phonak Terra BTE-M,Sluchadlo BTE,P,08,1,ks,bal,903,CH,REJA spol. s r.o.,6817.44,,FON,0.00,,,0.00,,,6817.44,,08.01.01.01,,,1,60,S,2024-08-01,,,,,,,,,,,
5017405,0000000,"ReSound, Nexia, NX988-DWC","Sluchadlo PBTE, dobíjecí, 17 kanálů, wireless, MFi, ASHA, Auracast",P,08,1,ks,ks,154,DK,GN Hearing Czech Republic spol. s r.o.,6817.44,,"FON, ORL",0.00,,,0.00,,,39907.00,,08.01.01.04,,,2,60,S,2024-08-01,,,,,,,,,,,
5017387,0000000,"ReSound, Nexia, NX477-DWC","Sluchadlo BTE, dobíjecí, 12 kanálů, wireless, MFi, ASHA, Auracast",P,08,1,ks,bal,154,DK,GN Hearing Czech Republic spol. s r.o.,9739.52,,FON,0.00,,,0.00,,,14901.60,,08.01.01.01,,,1,60,S,2024-08-01,,,,,,,,,,,
5017364,0000000,"ReSound, Nexia, NX460S-DRWC","Sluchadlo RIE, dobíjecí, 12 kanálů, wireless, MFi, ASHA, Auracast",P,08,1,ks,bal,154,DK,GN Hearing Czech Republic spol. s r.o.,9739.52,,FON,0.00,,,0.00,,,14901.60,,08.01.01.01,,,1,60,S,2024-08-01,,,,,,,,,,,
5017365,0000000,"ReSound, Nexia, NX460S-DRWC","Sluchadlo RIE, dobíjecí, 12 kanálů, wireless, MFi, ASHA, Auracast",P,08,1,ks,bal,154,DK,GN Hearing Czech Republic spol. s r.o.,9739.52,,FON,0.00,,,0.00,,,14901.60,,08.01.01.02,,,2,60,S,2024-08-01,,,,,,,,,,,
5017366,0000000,"ReSound, Nexia, NX460S-DRWC","Sluchadlo RIE, dobíjecí, 12 kanálů, wireless, MFi, ASHA, Auracast",P,08,1,ks,ks,154,DK,GN Hearing Czech Republic spol. s r.o.,6817.44,,"FON, ORL",0.00,,,0.00,,,14901.60,,08.01.01.03,,,1,60,S,2024-08-01,,,,,,,,,,,
5017336,0000000,"ReSound, Nexia, NX762-DRW","Sluchadlo RIE, Baterie V13, 14 kanálů, wireless, MFi, ASHA, Auracast",P,08,1,ks,bal,154,DK,GN Hearing Czech Republic spol. s r.o.,9739.52,,FON,0.00,,,0.00,,,29905.40,,08.01.01.01,,,1,60,S,2024-08-01,,,,,,,,,,,
5017324,0000000,"ReSound, Nexia, NX561-DRW","Sluchadlo RIE, Baterie V312, 12 kanálů, wireless, MFi, ASHA, Auracast",P,08,1,ks,bal,154,DK,GN Hearing Czech Republic spol. s r.o.,9739.52,,FON,0.00,,,0.00,,,19903.80,,08.01.01.01,,,1,60,S,2024-08-01,,,,,,,,,,,
5018207,0000000,Unitron Ativo SP,Sluchadlo BTE,P,08,1,ks,ks,903,CH,REJA spol. s r.o.,6817.44,,"FON, ORL",0.00,,,0.00,,,6817.44,,08.01.01.04,,,2,60,S,2025-04-01,,,,,,,,,,,
5018206,0000000,Unitron Ativo SP,Sluchadlo BTE,P,08,1,ks,ks,903,CH,REJA spol. s r.o.,6817.44,,"FON, ORL",0.00,,,0.00,,,6817.44,,08.01.01.03,,,1,60,S,2025-04-01,,,,,,,,,,,
