kod_subjekt,kod_iso,nazev
A04,IT,Nirial Pharma S.R.L.
FIF,IT,FIDIA FARMACEUTICI
987,CN,"VivaChek Biotech (Hangzhou) Co., Ltd."
STW,CZ,STERIWUND spol. s r.o.
996,PL,LIW Care Technology Sp. z o. o.
996,PL,LIW Care Technology Sp. z o. o.
SAU,DE,Manfred Sauer GmbH
MTR,AT,Medtrust Handelsgesellschaft m.b.H.
913,DE,Signia GmbH
256,US,KORU Medical Systems
INV,DE,Invacare GmbH
958,CN,"Shanghai Carelife International Trading Co., Ltd."
DVL,DE,DeVilbiss Healthcare GmbH
A05,CN,"AUSTAR Hearing Science and Technology Co., Ltd"
DXM,US,"Dexcom, Inc."
CWD,ZA,Cerdak (Pty) Ltd
FOR,DE,For Life Produktions- und Vertriebsgesellschaft fur Heil- und Hilfsmitte mbh
991,CZ,Erba Lachema s.r.o.
STG,GB,Systagenix Wound Management Limited
A03,IT,Euroresearch S.r.l.
975,DE,Löwenstein Medical Technology GmbH & Co. KG
MEG,IN,Meghdoot Pharma
A59,CZ,"GCE, s.r.o."
YPM,CH,Ypsomed AG
927,IT,3A HEALTH CARE s.r.l.
A17,IT,Alfakjn S.r.l.
959,AU,Cochlear Limited
345,SE,Cochlear Bone Anchored Solutions AB
OPE,DE,OPED GmnH
A33,DK,WSAUD A/S
953,CN,"Conod Medical Co., Limited."
SMN,CZ,"SANOMED, spol. s r.o."
A47,US,"Ride Designs, a division of Aspen Seating, LLC"
AKC,PL,Akces-Med Sp. z o.o.
A60,FR,WINNCARE Groupe
DIA,PL,DIAGNOSIS S.A
973,US,"Sonic lnnovations, Inc."
B44,PL,"Antar Sp. J. Irena Groniecka-Tarnkowska, Andrzej Tarnkowski"
982,NO,Alu Rehab AS
MNM,US,Medtronic MiniMed
VER,BE,VERMEIREN GROUP N.V.
975,DE,Löwenstein Medical Technology GmbH & Co. KG
A57,DE,Hälsa Pharma GmbH
A39,DE,Prontomed GmbH
ACE,CH,Ascensia Diabetes Care Holdings AG
SOO,KR,"SOOIL Development Co., Ltd."
A40,CZ,Libella design s.r.o.
TZM,PL,Toruńskie Zakłady Materiałów Opatrunkowych - Spółka Akcyjna
A51,CN,"Zhejiang POCTech Co., Ltd."
A50,CN,"e-LinkCare Meditech Co., Ltd."
A14,CN,MEDTRUM TECHNOLOGIES Inc.
ONT,BE,ONTEX BVBA
SUC,DE,Schuchmann GmbH & Co. KG
A49,CN,"WUXI BIOHERMES BIO & MEDICAL TECHNOLOGY CO., LTD"
B09,GB,POWERbreathe International Ltd.
AMO,DE,AMOENA Medizin-Orthopädie-Technik GmbH
PAH,SE,Panthera AB
ORT,CZ,"ORTEX , spol. s r.o."
ETE,NL,EuroTec BV
A52,DE,Body Products GmbH
933,NL,Kimberly-Clark B.V.
ORS,CZ,ORTOSERVIS s.r.o.
A41,CN,"Hangzhou Singclean Medical Products Co., Ltd"
DRY,CZ,Drylock Technologies s.r.o.
A38,DE,Dr. Arabin GmbH & Co. KG
941,FR,Air Liquide Medical Systems S.A.
ATO,DE,ATO FORM GmbH
978,CZ,Ultina s.r.o.
A45,CZ,Handicap trade s.r.o.
B33,AU,ResMed Pty Ltd
A56,RU,Flamingo LLC
DTZ,DE,Dietz GmbH
3M,US,"3M Company, 3M Health Care"
935,FR,EOVE
A53,IE,Avery Dennison Medical Ltd.
A54,SE,Aurena Laboratories AB
ALP,CZ,ALP ecology s.r.o.
ERR,IT,Euroresearch s.r.l.
WML,GB,Welland Medical Ltd
B27,CZ,WS Audiology CZ s.r.o.
A85,DE,tecfor care GmbH
899,CZ,T&T Czech Brands s.r.o.
A43,HU,NowTechnologies Zrt.
DIS,DE,Roche Diabetes Care GmbH
NOO,DK,Novo Nordisk A/S
952,DE,Ottobock SE & Co. KGaA
TOC,GB,Trio Healthcare Ltd
ATM,SE,Atos Medical AB
HTL,PL,HTL-STREFA S.A.
A61,CN,"Zhongshan Bliss Medical Instrument CO.,LTD"
A48,CN,"DONGGUAN AIDISY MACHINERY AND ELECTRONIC EQUIPMENT CO., LTD."
