ObdobÌ;Typ hl·öenÌ;ATC7;KÛd S⁄KL;N·zev p¯Ìpravku;DoplnÏk n·zvu;Drûitel registraËnÌho rozhodnutÌ;ZemÏ;Typ pohybu;PoËet balenÌ;PoËet definovan˝ch dennÌch d·vek/balenÌ;Zp˘sob v˝deje;Hrazeno
2020.05;Distributor;B05XA02;25134;HYDROGENUHLI»ITAN SODN› 4,2%(W/V)-BRAUN;42MG/ML INF SOL 10X250ML;BMM;D;D;4;;R;Ano
2020.05;Distributor;B05XA02;25133;HYDROGENUHLI»ITAN SODN› 8,4%(W/V)-BRAUN;84MG/ML INF SOL 10X250ML;BMM;D;D;50;;R;Ano
2020.05;Distributor;B05XA02;25132;HYDROGENUHLI»ITAN SODN› 8,4%(W/V)-BRAUN;84MG/ML INF SOL 20X100ML;BMM;D;D;41;;R;Ano
2020.05;Distributor;B05XA03;55919;CHLORID SODN› 10% BRAUN;10% INF CNC SOL 20X10ML;BMM;D;D;233;;R;Ne
2020.05;Distributor;B05XA03;55914;CHLORID SODN› 5,85% BRAUN;5,85% INF CNC SOL 20X100ML;BMM;D;D;36;;R;Ne
2020.05;Distributor;B05XA30;59398;TRACUTIL;INF CNC SOL 5X10ML;BMM;D;D;621;;R;Ne
2020.05;Distributor;B05XA31;162213;KALIUM-L-MALAT FRESENIUS 1 MOLAR;66MG/ML+134,1MG/ML INF CNC SOL 20X20ML;FRK;A;D;3389;;R;Ne
2020.05;Distributor;B05XC;45981;CERNEVIT;INJ/INF PLV SOL 10;BXT;CZ;D;2389;;R;Ne
2020.05;Distributor;B05ZB;204603;BIPHOZYL;HMD/HFL SOL 2X5000ML;BXJ;NL;D;100;;R;Ne
2020.05;Distributor;B05ZB;15898;DUOSOL BEZ KALIA;HFL SOL 2X5000ML;BUM;D;D;30;;R;Ne
2020.05;Distributor;B05ZB;15897;DUOSOL S 2 MMOL/L KALIA;HFL SOL 2X5000ML;BUM;D;D;25;;R;Ne
2020.05;Distributor;B05ZB;162033;MULTIBIC BEZ DRASLÕKU;HFL SOL 2X5000ML;FRC;D;D;52;;R;Ne
2020.05;Distributor;B05ZB;204356;REGIOCIT;HFL SOL 2X5000ML;BXJ;NL;D;134;;R;Ne
2020.05;Distributor;B06AC01;199243;BERINERT;500IU INJ/INF PSO LQF 1+1X10ML;CGM;D;D;100;0,3571;R;Ano
2020.05;Distributor;B06AC02;500220;FIRAZYR;30MG INJ SOL 1X3ML+1J;SPI;IRL;D;300;1;R;Ano
2020.05;Distributor;B06AC05;238260;TAKHZYRO;300MG INJ SOL 1X2ML+STÿ+2J;SPI;IRL;D;4;;R;Ne
2020.05;Distributor;C01AA05;3542;DIGOXIN L…»IVA;0,250MG TBL NOB 30;ZNP;CZ;D;66490;30;R;Ano
2020.05;Distributor;C01BC03;235818;RYTMONORM;300MG TBL FLM 100;MYL;IRL;D;3440;100;R;Ano
2020.05;Distributor;C01BC03;235816;RYTMONORM;300MG TBL FLM 50;MYL;IRL;D;5040;50;R;Ano
2020.05;Distributor;C01BD01;59655;AMIOKORDIN;200MG TBL NOB 60;KRK;SLO;D;180;60;R;Ano
2020.05;Distributor;C01BD01;13767;CORDARONE;200MG TBL NOB 30;SFK;CZ;D;22112;30;R;Ano
2020.05;Distributor;C01BD07;167351;MULTAQ;400MG TBL FLM 60;SGX;F;D;2180;30;R;Ano
2020.05;Distributor;C01CA03;216900;NORADRENALIN L…»IVA;1MG/ML INF CNC SOL 5X5ML;ZNP;CZ;D;17952;4,1667;R;Ano
2020.05;Distributor;C01CA24;221862;ADRENALIN BRADEX;1MG/ML INJ SOL 10X1ML;BCJ;GR;D;2016;20;R;Ano
2020.05;Distributor;C01CA24;221862;ADRENALIN BRADEX;1MG/ML INJ SOL 10X1ML;BCJ;GR;V;-300;20;R;Ano
2020.05;Distributor;C01CA24;233010;EPIPEN;300MCG INJ SOL PEP 1X0,3ML;MYL;IRL;D;898;0,6;R;Ano
2020.05;Distributor;C01CA24;233009;EPIPEN;300MCG INJ SOL PEP 2X0,3ML;MYL;IRL;D;198;1,2;R;Ano
2020.05;Distributor;C01CA24;233012;EPIPEN JR.;150MCG INJ SOL PEP 1X0,3ML;MYL;IRL;D;1298;0,3;R;Ano
2020.05;Distributor;C01CA26;447;EPHEDRIN BIOTIKA;50MG/ML INJ SOL 10X1ML;BBP;CZ;D;2400;10;R;Ne
2020.05;Distributor;C01CX08;155338;SIMDAX;2,5MG/ML INF CNC SOL 1X5ML;ORN;SF;D;70;1,1364;R;Ne
2020.05;Distributor;C01DA02;218375;PERLINGANIT ROZTOK;1MG/ML INF SOL 10X10ML;MRL;L;D;540;;R;Ne
2020.05;Distributor;C01DA08;218171;CARDIKET RETARD;120MG CPS PRO 30 I;MRL;L;D;2860;60;R;Ano
2020.05;Distributor;C01DA08;218181;CARDIKET RETARD;40MG TBL PRO 50 I;MRL;L;D;1440;33,3333;R;Ano
2020.05;Distributor;C01DA08;218186;ISOKET SPRAY;375MG/15ML SLG SPR SOL 1X15ML;MRL;L;D;2780;18,75;R;Ano
2020.05;Distributor;C01DX12;76155;CORVATON FORTE;4MG TBL NOB 30;SFK;CZ;D;30708;20;R;Ano
2020.05;Distributor;C01EB10;137238;ADENOCOR;3MG/ML INJ SOL 6X2ML;SFK;CZ;D;3185;2,4;R;Ano
2020.05;Distributor;C01EB15;178689;PROTEVASC;35MG TBL PRO 60;GDB;H;D;1440;52,5;R;Ano
2020.05;Distributor;C01EB17;224680;IVABRADIN TEVA;7,5MG TBL FLM 56 KAL;TPP;CZ;D;1000;42;R;Ano
2020.05;Distributor;C01EB17;133252;RAENOM;5MG TBL FLM 56;GDB;H;D;144;28;R;Ano
2020.05;Distributor;C02AC05;230591;CYNT;0,2MG TBL FLM 98 I;MYL;IRL;D;5040;65,3333;R;Ano
2020.05;Distributor;C02AC05;17368;MOXOGAMMA;0,2MG TBL FLM 30;WGP;D;D;125;20;R;Ano
2020.05;Distributor;C02AC05;17333;MOXOGAMMA;0,3MG TBL FLM 30;WGP;D;D;10;30;R;Ano
2020.05;Distributor;C02AC05;17351;MOXOGAMMA;0,4MG TBL FLM 30;WGP;D;D;20;40;R;Ano
2020.05;Distributor;C02AC06;166423;RILMENIDIN TEVA;1MG TBL NOB 90;TPP;CZ;D;104529;;R;Ano
2020.05;Distributor;C02CA04;241398;DOXAZOSIN AUROVITAS;4MG TBL NOB 90;AUJ;CZ;D;371;90;R;Ano
2020.05;Distributor;C02CA04;64797;KAMIREN 4;4MG TBL NOB 30;KRK;SLO;D;10;30;R;Ano
2020.05;Distributor;C02CA06;171615;TACHYBEN I.V.;25MG INJ SOL 5X5ML;EVN;A;D;390;2,5;R;Ano
2020.05;Distributor;C02CA06;171616;TACHYBEN I.V.;50MG INJ SOL 5X10ML;EVN;A;D;906;5;R;Ano
2020.05;Distributor;C02KX02;29423;VOLIBRIS;5MG TBL FLM 30X1;GSE;IRL;D;138;20;R;Ano
2020.05;Distributor;C02KX04;194756;OPSUMIT;10MG TBL FLM 30;JAI;B;D;149;30;R;Ne
2020.05;Distributor;C02KX05;194873;ADEMPAS;1,5MG TBL FLM 42;BAY;D;D;12;14;R;Ano
2020.05;Distributor;C02KX05;194879;ADEMPAS;2,5MG TBL FLM 42;BAY;D;D;96;23,3333;R;Ano
2020.05;Distributor;C03AA03;228274;HYDROCHLOROTHIAZIDE AUROVITAS;25MG TBL NOB 20;AUJ;CZ;D;398;20;R;Ano
2020.05;Distributor;C03BA11;151949;INDAP;2,5MG CPS DUR 100;PMP;CZ;D;43415;100;R;Ano
2020.05;Distributor;C03BA11;96696;INDAP;2,5MG CPS DUR 30;PMP;CZ;D;10090;30;R;Ano
2020.05;Distributor;C03BA11;124414;INDAPAMIDE ORION;1,5MG TBL PRO 30;ORN;SF;D;90;18;R;Ano
2020.05;Distributor;C03BA11;124416;INDAPAMIDE ORION;1,5MG TBL PRO 90;ORN;SF;D;30;54;R;Ano
2020.05;Distributor;C03BA11;20031;RAWEL SR;1,5MG TBL PRO 30;KRK;SLO;D;378;18;R;Ano
2020.05;Distributor;C03BA11;151034;RAWEL SR;1,5MG TBL PRO 90;KRK;SLO;D;1444;54;R;Ano
2020.05;Distributor;C03CA01;56809;FURORESE 125;125MG TBL NOB 100;HHO;D;D;19600;312,5;R;Ano
2020.05;Distributor;C03CA01;56808;FURORESE 125;125MG TBL NOB 50;HHO;D;D;12158;156,25;R;Ano
2020.05;Distributor;C03CA01;243408;FUROSEMID BBP;10MG/ML INJ SOL 5X2ML;BBP;CZ;D;9600;2,5;R;Ano
2020.05;Distributor;C03CA01;243407;FUROSEMID BBP;12,5MG/ML INJ SOL 10X10ML;BBP;CZ;D;2189;31,25;R;Ano
2020.05;Distributor;C03DA01;46754;VEROSPIRON;100MG CPS DUR 30;GDB;H;D;2592;40;R;Ano
2020.05;Distributor;C03DA01;30434;VEROSPIRON;25MG TBL NOB 100;GDB;H;D;52096;33,3333;R;Ano
2020.05;Distributor;C03DA01;3550;VEROSPIRON;25MG TBL NOB 20;GDB;H;D;5400;6,6667;R;Ano
2020.05;Distributor;C03DA01;46755;VEROSPIRON;50MG CPS DUR 30;GDB;H;D;10080;20;R;Ano
2020.05;Distributor;C03DA02;201384;ALDACTONE;200MG/10ML INJ SOL 10X10ML I;RGI;D;D;204;5;R;Ne
2020.05;Distributor;C03EA01;47478;LORADUR MITE;2,5MG/25MG TBL NOB 50;RAT;D;D;107950;;R;Ano
2020.05;Distributor;C03EA06;207930;AMICLOTON;2,5MG/25MG TBL NOB 30;ZNP;CZ;D;8964;;R;Ano
2020.05;Distributor;C03XA01;210426;JINARC;15MG+45MG TBL NOB 56(28X15MG+28X45MG) I;OTS;NL;D;10;56;R;Ne
2020.05;Distributor;C03XA01;210432;JINARC;30MG+60MG TBL NOB 56(28X30MG+28X60MG) I;OTS;NL;D;40;84;R;Ne
2020.05;Distributor;C03XA01;210429;JINARC;30MG+90MG TBL NOB 56(28X30MG+28X90MG) I;OTS;NL;D;30;112;R;Ne
2020.05;Distributor;C04AD03;47085;PENTOMER RETARD;400MG TBL PRO 100;RAT;D;D;5650;40;R;Ano
2020.05;Distributor;C04AD04;17983;OXYPHYLLIN;100MG TBL NOB 50;NOZ;CZ;D;3600;16,6667;R;Ne
2020.05;Distributor;C04AX21;66015;ENELBIN 100 RETARD;100MG TBL PRO 100;ZNP;CZ;D;30623;16,6667;R;Ano
2020.05;Distributor;C05AD01;180555;PROCTO-GLYVENOL;400MG/40MG SUP 10;HPE;CZ;D;1568;;F;Ne
2020.05;Distributor;C05AD01;180553;PROCTO-GLYVENOL;50MG/G+20MG/G RCT CRM 1X30G;HPE;CZ;D;2520;;F;Ne
2020.05;Distributor;C05AD04;214595;FAKTU;100MG/2,5MG SUP 20;TAK;D;D;26850;;F;Ne
2020.05;Distributor;C05BA01;100311;HIRUDOID FORTE;445MG/100G CRM 40G;STD;D;D;10320;;F;Ne
2020.05;Distributor;C05BA01;100306;HIRUDOID FORTE;445MG/100G GEL 40G;STD;D;D;10740;;F;Ne
2020.05;Distributor;C05BA03;17165;LIOTON;1000IU/G GEL 100G;MEN;I;D;54961;;F;Ne
2020.05;Distributor;C05BB02;8510;AETHOXYSKLEROL 0,5%;5MG/ML INJ SOL 5X2ML;KRS;D;D;14000;;R;Ne
2020.05;Distributor;C05BB02;20033;AETHOXYSKLEROL 1%;10MG/ML INJ SOL 5X2ML;KRS;D;D;14000;;R;Ne
2020.05;Distributor;C05BB02;8511;AETHOXYSKLEROL 2%;20MG/ML INJ SOL 5X2ML;KRS;D;D;6000;;R;Ne
2020.05;Distributor;C05BB02;2529;AETHOXYSKLEROL 3%;30MG/ML INJ SOL 5X2ML;KRS;D;D;8000;;R;Ne
2020.05;Distributor;C05CA03;243052;DIOZEN;500MG TBL FLM 30;ZNP;CZ;D;12161;;F;Ne
2020.05;Distributor;C05CA03;243053;DIOZEN;500MG TBL FLM 60;ZNP;CZ;D;44960;;F;Ne
2020.05;Distributor;C05CA03;208789;OSMIGEN;500MG TBL FLM 120;ADD;CZ;D;20493;;R;Ano
2020.05;Distributor;C05CA51;96303;ASCORUTIN;100MG/20MG TBL FLM 50;ZNB;SK;D;182669;;F;Ne
2020.05;OOV;C05CA53;201992;DETRALEX;500MG TBL FLM 120;LQS;F;D;34393;;R;Ano
2020.05;OOV;C05CA53;14075;DETRALEX;500MG TBL FLM 60;LQS;F;D;67714;;R;Ano
2020.05;Distributor;C05CA54;218098;VENORUTON FORTE;500MG TBL NOB 60;GSH;CZ;D;7699;;F;Ne
2020.05;Distributor;C05CX;107806;AESCIN TEVA;20MG TBL ENT 30;TPP;CZ;D;15228;;F;Ne
2020.05;Distributor;C05CX;234215;REPARIL- DRAG…ES;20MG TBL ENT 100;MYL;IRL;D;3837;;F;Ne
2020.05;Distributor;C05CX;234216;REPARIL- DRAG…ES;20MG TBL ENT 40;MYL;IRL;D;10080;;F;Ne
2020.05;Distributor;C07AB02;231687;BETALOC SR;200MG TBL PRO 100;HPE;CZ;D;5500;133,3333;R;Ano
2020.05;Distributor;C07AB02;231688;BETALOC SR;200MG TBL PRO 30;HPE;CZ;D;2402;40;R;Ano
2020.05;Distributor;C07AB02;231689;BETALOC ZOK;100MG TBL PRO 100;HPE;CZ;D;3872;66,6666;R;Ano
2020.05;Distributor;C07AB02;231691;BETALOC ZOK;100MG TBL PRO 30;HPE;CZ;D;447;20;R;Ano
2020.05;Distributor;C07AB02;231692;BETALOC ZOK;200MG TBL PRO 100;HPE;CZ;D;812;133,3333;R;Ano
2020.05;Distributor;C07AB02;231695;BETALOC ZOK;200MG TBL PRO 30;HPE;CZ;D;48;40;R;Ano
2020.05;Distributor;C07AB02;231696;BETALOC ZOK;25MG TBL PRO 100;HPE;CZ;D;8064;16,6666;R;Ano
2020.05;Distributor;C07AB02;231697;BETALOC ZOK;25MG TBL PRO 28;HPE;CZ;D;2710;4,6666;R;Ano
2020.05;Distributor;C07AB02;231702;BETALOC ZOK;50MG TBL PRO 100;HPE;CZ;D;7072;33,3333;R;Ano
2020.05;Distributor;C07AB02;231701;BETALOC ZOK;50MG TBL PRO 30;HPE;CZ;D;1250;10;R;Ano
2020.05;Distributor;C07AB02;59893;EGILOK;100MG TBL NOB 60;EGB;H;D;12680;40;R;Ano
2020.05;Distributor;C07AB02;54151;EGILOK;50MG TBL NOB 60;EGB;H;D;25000;20;R;Ano
2020.05;Distributor;C07AB03;62861;ATENOBENE;25MG TBL FLM 30;RAT;D;D;25990;10;R;Ano
2020.05;Distributor;C07AB03;62857;ATENOBENE;50MG TBL FLM 50;RAT;D;D;18020;33,3333;R;Ano
2020.05;Distributor;C07AB03;2720;ATENOLOL AL 100;100MG TBL NOB 100;AYL;D;D;4772;133,3333;R;Ano
2020.05;Distributor;C07AB03;237474;TENORMIN;50MG TBL FLM 28;AZC;S;D;4680;18,6666;R;Ano
2020.05;Distributor;C07AB04;80058;SECTRAL;400MG TBL FLM 30;SFK;CZ;D;5600;30;R;Ano
2020.05;Distributor;C07AB05;139479;BETAMED;20MG TBL FLM 100;MOE;CY;D;31167;100;R;Ano
2020.05;Distributor;C07AB05;139477;BETAMED;20MG TBL FLM 30;MOE;CY;D;55925;30;R;Ano
2020.05;Distributor;C07AB05;139478;BETAMED;20MG TBL FLM 50;MOE;CY;D;12988;50;R;Ano
2020.05;Distributor;C07AB05;188616;BETAXOLOL PMCS;20MG TBL NOB 100;PMP;CZ;D;10762;100;R;Ano
2020.05;Distributor;C07AB05;188612;BETAXOLOL PMCS;20MG TBL NOB 30;PMP;CZ;D;12000;30;R;Ano
2020.05;Distributor;C07AB05;49910;LOKREN;20MG TBL FLM 98;SFK;CZ;D;36722;98;R;Ano
2020.05;Distributor;C07AB07;40586;BISOGAMMA 10;10MG TBL FLM 100;WGP;D;D;125;100;R;Ano
2020.05;Distributor;C07AB07;40558;BISOGAMMA 10;10MG TBL FLM 30;WGP;D;D;30;30;R;Ano
2020.05;Distributor;C07AB07;40547;BISOGAMMA 5;5MG TBL FLM 100;WGP;D;D;320;50;R;Ano
2020.05;Distributor;C07AB07;226536;BISOPROLOL AUROVITAS;10MG TBL FLM 30;AUJ;CZ;D;647;30;R;Ano
2020.05;Distributor;C07AB07;226543;BISOPROLOL AUROVITAS;2,5MG TBL FLM 30;AUJ;CZ;D;970;7,5;R;Ano
2020.05;Distributor;C07AB07;226550;BISOPROLOL AUROVITAS;5MG TBL FLM 30;AUJ;CZ;D;110;15;R;Ano
2020.05;Distributor;C07AB07;233600;BISOPROLOL MYLAN;10MG TBL FLM 30;MII;IRL;D;6110;30;R;Ano
2020.05;Distributor;C07AB07;233584;BISOPROLOL MYLAN;5MG TBL FLM 100;MII;IRL;D;23620;50;R;Ano
2020.05;Distributor;C07AB07;32974;BISOPROLOL-RATIOPHARM;10MG TBL NOB 100;RAT;D;D;19200;100;R;Ano
2020.05;Distributor;C07AB07;196006;SOBYCOR;10MG TBL FLM 30;KRK;SLO;D;530;30;R;Ano
2020.05;Distributor;C07AB07;195996;SOBYCOR;5MG TBL FLM 30;KRK;SLO;D;1560;15;R;Ano
2020.05;Distributor;C07AB12;53761;NEBILET;5MG TBL NOB 28;BBE;D;D;45936;28;R;Ano
2020.05;Distributor;C07AG02;102608;CARVESAN;25MG TBL NOB 30;MCH;CZ;D;1000;20;R;Ano
2020.05;Distributor;C07AG02;225505;DILATREND 25;25MG TBL NOB 30;CHA;D;D;1382;20;R;Ano
2020.05;Distributor;C07AG02;225506;DILATREND 6,25;6,25MG TBL NOB 30;CHA;D;D;839;5;R;Ano
2020.05;Distributor;C07BB03;237472;TENORETIC;100MG/25MG TBL FLM 28;AZC;S;D;5760;28;R;Ano
2020.05;Distributor;C07FB07;184288;CONCOR COMBI;5MG/10MG TBL NOB 30;MBN;CZ;D;6000;30;R;Ano
2020.05;Distributor;C08CA01;2954;AGEN;10MG TBL NOB 30;ZNP;CZ;D;40913;60;R;Ano
2020.05;Distributor;C08CA01;15379;AGEN;10MG TBL NOB 90;ZNP;CZ;D;25910;180;R;Ano
2020.05;Distributor;C08CA01;181128;AMLODIPIN ACCORD;5MG TBL NOB 30;AHP;PL;D;164;30;R;Ano
2020.05;Distributor;C08CA01;242115;AMLOZEK;10MG TBL NOB 90;ADP;PL;D;1000;180;R;Ano
2020.05;Distributor;C08CA01;3999;CARDILOPIN;10MG TBL NOB 30;EGB;H;D;30;60;R;Ano
2020.05;Distributor;C08CA01;42849;HIPRES;10MG TBL NOB 30;KRK;SLO;D;120;60;R;Ano
2020.05;Distributor;C08CA01;42848;HIPRES;5MG TBL NOB 30;KRK;SLO;D;960;30;R;Ano
2020.05;Distributor;C08CA01;162908;ORCAL NEO;5MG TBL NOB 100 I;SAN;CZ;D;22701;100;R;Ano
2020.05;Distributor;C08CA01;163110;ZOREM;10MG TBL NOB 30;PFX;CZ;D;2290;60;R;Ano
2020.05;Distributor;C08CA01;163112;ZOREM;5MG TBL NOB 30;PFX;CZ;D;9120;30;R;Ano
2020.05;Distributor;C08CA02;237544;PLENDIL ER;10MG TBL PRO 30 I;AZC;S;D;864;60;R;Ano
2020.05;Distributor;C08CA02;237532;PLENDIL ER;5MG TBL PRO 30 I;AZC;S;D;1920;30;R;Ano
2020.05;Distributor;C08CA02;235780;PRESID;5MG TBL PRO 30;TEV;NL;D;30920;30;R;Ano
2020.05;Distributor;C08CA08;30965;NITRENDIPIN RATIOPHARM;20MG TBL NOB 100;RAT;D;D;13450;100;R;Ano
2020.05;Distributor;C08CA08;94688;NITRENDIPIN RATIOPHARM;20MG TBL NOB 30;RAT;D;D;5790;30;R;Ano
2020.05;Distributor;C08CA13;176581;LERPIN;10MG TBL FLM 28;HPE;CZ;D;50;28;R;Ano
2020.05;Distributor;C08CA13;180458;LERPIN;10MG TBL FLM 98;HPE;CZ;D;161;98;R;Ano
2020.05;Distributor;C08CA13;176570;LERPIN;20MG TBL FLM 28;HPE;CZ;D;20;56;R;Ano
2020.05;Distributor;C08CA13;176575;LERPIN;20MG TBL FLM 98;HPE;CZ;D;51;196;R;Ano
2020.05;Distributor;C08CA13;239573;ORIDIP;20MG TBL FLM 98 II;ORN;SF;D;10;196;R;Ano
2020.05;Distributor;C08DA01;233480;ISOPTIN;40MG TBL FLM 50;MYL;IRL;D;18850;8,3333;R;Ano
2020.05;Distributor;C08DB01;94314;DIACORDIN 90 RETARD;90MG TBL PRO 30;ZNP;CZ;D;27925;11,25;R;Ano
2020.05;Distributor;C09AA03;11006;DIROTON;10MG TBL NOB 100;GDB;H;D;2646;100;R;Ano
2020.05;Distributor;C09AA03;53642;DIROTON;10MG TBL NOB 28;GDB;H;D;1000;28;R;Ano
2020.05;Distributor;C09AA03;53643;DIROTON;20MG TBL NOB 28;GDB;H;D;2160;56;R;Ano
2020.05;Distributor;C09AA03;53641;DIROTON;5MG TBL NOB 28;GDB;H;D;4752;14;R;Ano
2020.05;Distributor;C09AA04;137534;PERINALON;8MG TBL NOB 100;SAN;CZ;D;1309;200;R;Ano
2020.05;Distributor;C09AA04;169900;PERINDOPRIL PMCS;8MG TBL NOB 100;PMP;CZ;D;8290;200;R;Ano
2020.05;Distributor;C09AA04;169901;PERINDOPRIL PMCS;8MG TBL NOB 30;PMP;CZ;D;5000;60;R;Ano
2020.05;Distributor;C09AA04;128435;PERINDOPRIL RATIOPHARM;8MG TBL NOB 90;RAT;D;D;15118;180;R;Ano
2020.05;Distributor;C09AA04;229903;PRENESSA;4MG TBL NOB 30;KRK;SLO;D;3840;30;R;Ano
2020.05;Distributor;C09AA04;229905;PRENESSA;4MG TBL NOB 90;KRK;SLO;D;15120;90;R;Ano
2020.05;Distributor;C09AA04;229909;PRENESSA;8MG TBL NOB 30;KRK;SLO;D;16264;60;R;Ano
2020.05;OOV;C09AA04;101205;PRESTARIUM NEO;5MG TBL FLM 30;LQS;F;D;40000;37,5;R;Ano
2020.05;OOV;C09AA04;101211;PRESTARIUM NEO;5MG TBL FLM 90(3X30);LQS;F;D;64514;112,5;R;Ano
2020.05;OOV;C09AA04;101227;PRESTARIUM NEO FORTE;10MG TBL FLM 30;LQS;F;D;5000;75;R;Ano
2020.05;OOV;C09AA04;101233;PRESTARIUM NEO FORTE;10MG TBL FLM 90(3X30);LQS;F;D;31880;225;R;Ano
2020.05;Distributor;C09AA05;23966;AMPRILAN;10MG TBL NOB 30;KRK;SLO;D;600;120;R;Ano
2020.05;Distributor;C09AA05;23969;AMPRILAN;10MG TBL NOB 90;KRK;SLO;D;1980;360;R;Ano
2020.05;Distributor;C09AA05;23962;AMPRILAN;5MG TBL NOB 30;KRK;SLO;D;1760;60;R;Ano
2020.05;Distributor;C09AA05;23965;AMPRILAN;5MG TBL NOB 90;KRK;SLO;D;4600;180;R;Ano
2020.05;Distributor;C09AA05;176945;PIRAMIL;1,25MG TBL NOB 100 I;SZK;A;D;9320;50;R;Ano
2020.05;Distributor;C09AA05;176944;PIRAMIL;1,25MG TBL NOB 30 I;SZK;A;D;7544;15;R;Ano
2020.05;Distributor;C09AA05;224749;RAMIPRIL ACTAVIS;2,5MG TBL NOB 30;ACK;IS;D;12298;30;R;Ano
2020.05;Distributor;C09AA05;224761;RAMIPRIL ACTAVIS;5MG TBL NOB 50;ACK;IS;D;21080;100;R;Ano
2020.05;Distributor;C09AA05;15866;TRITACE;10MG TBL NOB 100;SFK;CZ;D;6932;400;R;Ano
2020.05;Distributor;C09AA05;56976;TRITACE;2,5MG TBL NOB 20;SFK;CZ;D;87327;20;R;Ano
2020.05;Distributor;C09AA05;56983;TRITACE;5MG TBL NOB 100;SFK;CZ;D;24224;200;R;Ano
2020.05;Distributor;C09AA06;94959;ACCUPRO;10MG TBL FLM 30;PFX;CZ;D;6372;20;R;Ano
2020.05;Distributor;C09AA08;241412;INHIBACE;2,5MG TBL FLM 100;CHA;D;D;451;100;R;Ano
2020.05;Distributor;C09AA08;241411;INHIBACE;2,5MG TBL FLM 28;CHA;D;D;57;28;R;Ano
2020.05;Distributor;C09AA08;241414;INHIBACE;5MG TBL FLM 100;CHA;D;D;235;200;R;Ano
2020.05;Distributor;C09AA08;241413;INHIBACE;5MG TBL FLM 28;CHA;D;D;540;56;R;Ano
2020.05;Distributor;C09AA09;200207;MONOPRIL;20MG TBL NOB 28;BAU;IRL;D;58410;37,3333;R;Ano
2020.05;Distributor;C09AA10;234726;GOPTEN;0,5MG CPS DUR 28;MYL;IRL;D;4891;7;R;Ano
2020.05;Distributor;C09AA10;234730;GOPTEN;2MG CPS DUR 98;MYL;IRL;D;29586;98;R;Ano
2020.05;Distributor;C09AA16;234804;TANATRIL;20MG TBL NOB 30 II;MYL;IRL;D;3600;60;R;Ano
2020.05;Distributor;C09BA02;66506;ENAP-H;10MG/25MG TBL NOB 30;KRK;SLO;D;2620;30;R;Ano
2020.05;Distributor;C09BA03;115688;DIROTON PLUS H;10MG/12,5MG TBL NOB 30;GDB;H;D;1584;30;R;Ano
2020.05;Distributor;C09BA03;115689;DIROTON PLUS H;20MG/12,5MG TBL NOB 30;GDB;H;D;792;30;R;Ano
2020.05;Distributor;C09BA04;165069;PERINPA;8MG/2,5MG TBL NOB 30;RAT;D;D;8720;30;R;Ano
2020.05;Distributor;C09BA04;165073;PERINPA;8MG/2,5MG TBL NOB 90;RAT;D;D;4550;90;R;Ano
2020.05;OOV;C09BA04;162012;PRESTARIUM NEO COMBI;10MG/2,5MG TBL FLM 90(3X30);LQS;F;D;15235;90;R;Ano
2020.05;OOV;C09BA04;122685;PRESTARIUM NEO COMBI;5MG/1,25MG TBL FLM 30;LQS;F;D;4282;30;R;Ano
2020.05;OOV;C09BA04;122690;PRESTARIUM NEO COMBI;5MG/1,25MG TBL FLM 90(3X30);LQS;F;D;45900;90;R;Ano
2020.05;Distributor;C09BA05;224816;RAMIPRIL H ACTAVIS;2,5MG/12,5MG TBL NOB 30;ACK;IS;D;11733;30;R;Ano
2020.05;Distributor;C09BA05;125099;TRITAZIDE;5MG/25MG TBL NOB 28;SFK;CZ;D;14174;28;R;Ano
2020.05;Distributor;C09BA08;241410;INHIBACE PLUS;5MG/12,5MG TBL FLM 98;CHA;D;D;1465;98;R;Ano
2020.05;Distributor;C09BB03;180433;AMESOS;10MG/5MG TBL NOB 90;GDB;H;D;1260;90;R;Ano
2020.05;Distributor;C09BB03;144795;AMESOS;20MG/10MG TBL NOB 90;GDB;H;D;1920;90;R;Ano
2020.05;Distributor;C09BB03;177395;AMESOS;20MG/5MG TBL NOB 90;GDB;H;D;960;90;R;Ano
2020.05;Distributor;C09BB04;214329;PERINDOPRIL/AMLODIPINE STADA;4MG/10MG TBL NOB 90;STD;D;D;890;90;R;Ano
2020.05;OOV;C09BB04;124119;PRESTANCE;10MG/5MG TBL NOB 90(3X30);LQS;F;D;5744;90;R;Ano
2020.05;OOV;C09BB04;124107;PRESTANCE;5MG/10MG TBL NOB 120(4X30);LQS;F;D;3000;120;R;Ano
2020.05;OOV;C09BB04;124093;PRESTANCE;5MG/5MG TBL NOB 120(4X30);LQS;F;D;16500;120;R;Ano
2020.05;OOV;C09BB04;124087;PRESTANCE;5MG/5MG TBL NOB 30;LQS;F;D;10500;30;R;Ano
2020.05;OOV;C09BB04;124091;PRESTANCE;5MG/5MG TBL NOB 90(3X30);LQS;F;D;10000;90;R;Ano
2020.05;Distributor;C09BB04;206186;PRIAMLO;4MG/10MG TBL NOB 30;ZNP;CZ;D;2917;30;R;Ano
2020.05;Distributor;C09BB04;206191;PRIAMLO;8MG/10MG TBL NOB 90;ZNP;CZ;D;4031;90;R;Ano
2020.05;Distributor;C09BB04;206188;PRIAMLO;8MG/5MG TBL NOB 30;ZNP;CZ;D;6014;30;R;Ano
