ATC;NT;NAZEV;NAZEV_EN
J05AR19;N;EMTRICITABIN, TENOFOVIR-ALAFENAMID A RILPIVIRIN;EMTRICITABINE, TENOFOVIR ALAFENAMIDE AND RILPIVIRINE
J05AR20;N;EMTRICITABIN, TENOFOVIR-ALAFENAMID A BIKTEGRAVIR;EMTRICITABINE, TENOFOVIR ALAFENAMIDE AND BICTEGRAVIR
J05AR21;N;DOLUTEGRAVIR A RILPIVIRIN;DOLUTEGRAVIR AND RILPIVIRINE
J05AR22;N;EMTRICITABIN, TENOFOVIR-ALAFENAMID, DARUNAVIR A KOBICISTAT;EMTRICITABINE, TENOFOVIR ALAFENAMIDE, DARUNAVIR AND COBICISTAT
J05AR23;N;ATAZANAVIR A RITONAVIR;ATAZANAVIR AND RITONAVIR
J05AR24;N;LAMIVUDIN, TENOFOVIR-DISOPROXIL A DORAVIRIN;LAMIVUDINE, TENOFOVIR DISOPROXIL AND DORAVIRINE
J05AR25;N;LAMIVUDIN A DOLUTEGRAVIR;LAMIVUDINE AND DOLUTEGRAVIR
J05AR26;N;DARUNAVIR A RITONAVIR;DARUNAVIR AND RITONAVIR
J05AR27;N;LAMIVUDIN, TENOFOVIR-DISOPROXIL A  DOLUTEGRAVIR;LAMIVUDINE, TENOFOVIR DISOPROXIL AND DOLUTEGRAVIR
J05AR28;N;STAVUDIN A LAMIVUDIN;STAVUDINE AND LAMIVUDINE
J05AR29;N;EMTRICITABIN, TENOFOVIR-ALAFENAMID A DOLUTEGRAVIR;EMTRICITABINE, TENOFOVIR ALAFENAMIDE AND DOLUTEGRAVIR
J05AX;N;JIN¡ ANTIVIROTIKA;OTHER ANTIVIRALS
J05AX01;N;MOROXYDIN;MOROXYDINE
J05AX02;N;LYSOZYM;LYSOZYME
J05AX05;N;INOSIN PRANOBEX;INOSINE PRANOBEX
J05AX06;N;PLEKONARIL;PLECONARIL
J05AX07;N;ENFUVIRTID;ENFUVIRTIDE
J05AX09;N;MARAVIROK;MARAVIROC
J05AX10;N;MARIBAVIR;MARIBAVIR
J05AX13;N;UMIFENOVIR;UMIFENOVIR
J05AX17;N;ENISAMIUM-IODID;ENISAMIUM IODIDE
J05AX18;N;LETERMOVIR;LETERMOVIR
J05AX19;N;TILORON;TILORONE
J05AX21;N;KYSELINA IMIDAZOLYLETHANAMIDOPENTANDIOV¡;PENTANEDIOIC ACID IMIDAZOLYL ETHANAMIDE
J05AX23;N;IBALIZUMAB;IBALIZUMAB
J05AX24;N;TEKOVIRIM¡T;TECOVIRIMAT
J05AX25;N;BALOXAVIR MARBOXIL;BALOXAVIR MARBOXIL
