ATC;NT;NAZEV;NAZEV_EN
A;N;TR¡VICÕ TRAKT A METABOLISMUS;ALIMENTARY TRACT AND METABOLISM
A01;N;STOMATOLOGICK… PÿÕPRAVKY;STOMATOLOGICAL PREPARATIONS
A01A;N;STOMATOLOGICK… PÿÕPRAVKY;STOMATOLOGICAL PREPARATIONS
A01AA;N;L¡TKY K PREVENCI ZUBNÕHO KAZU;CARIES PROPHYLACTIC AGENTS
A01AA01;N;FLUORID SODN›;SODIUM FLUORIDE
A01AA02;N;MONOFLUOROFOSFORE»NAN SODN›;SODIUM MONOFLUOROPHOSPHATE
A01AA03;N;OLAFLUR;OLAFLUR
A01AA04;N;FLUORID CÕNAT›;STANNOUS FLUORIDE
A01AA30;N;L¡TKY K PREVENCI ZUBNÕHO KAZU, KOMBINACE;COMBINATIONS
A01AA51;N;FLUORID SODN›, KOMBINACE;SODIUM FLUORIDE, COMBINATIONS
A01AB;N;ANTIINFEKTIVA A ANTISEPTIKA PRO LOK¡LNÕ L…»BU V DUTINÃ ⁄STNÕ;ANTIINFECTIVES AND ANTISEPTICS FOR LOCAL ORAL TREATMENT
A01AB02;N;PEROXID VODÕKU;HYDROGEN PEROXIDE
A01AB03;N;CHLORHEXIDIN;CHLORHEXIDINE
A01AB04;N;AMFOTERICIN B;AMPHOTERICIN B
A01AB05;N;POLYNOXYLIN;POLYNOXYLIN
A01AB06;N;DOMIFEN;DOMIPHEN
A01AB07;N;OXYCHINOLIN;OXYQUINOLINE
A01AB08;N;NEOMYCIN;NEOMYCIN
A01AB09;N;MIKONAZOL;MICONAZOLE
A01AB10;N;NATAMYCIN;NATAMYCIN
A01AB11;N;RŸZN¡ JIN¡ ANTIINFEKTIVA A ANTISEPTIKA;VARIOUS
A01AB12;N;HEXETIDIN;HEXETIDINE
A01AB13;N;TETRACYKLIN;TETRACYCLINE
A01AB14;N;BENZOXONIUM-CHLORID;BENZOXONIUM CHLORIDE
A01AB15;N;TIBEZONIUM-JODID;TIBEZONIUM IODIDE
A01AB16;N;MEPARTRICIN;MEPARTRICIN
A01AB17;N;METRONIDAZOL;METRONIDAZOLE
A01AB18;N;KLOTRIMAZOL;CLOTRIMAZOLE
A01AB19;N;PEROXOBORITAN SODN›;SODIUM PERBORATE
A01AB21;N;CHLORTETRACYKLIN;CHLORTETRACYCLINE
A01AB22;N;DOXYCYKLIN;DOXYCYCLINE
A01AB23;N;MINOCYKLIN;MINOCYCLINE
A01AB24;N;OKTENIDIN;OCTENIDINE
A01AB25;N;OXYTETRACYKLIN;OXYTETRACYCLINE
A01AB53;N;CHLORHEXIDIN A CETYLPYRIDINIUM;CHLORHEXIDINE AND CETYLPYRIDINIUM
A01AC;N;KORTIKOSTEROIDY PRO LOK¡LNÕ L…»BU V DUTINÃ ⁄STNÕ;CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT
A01AC01;N;TRIAMCINOLON;TRIAMCINOLONE
A01AC02;N;DEXAMETHASON;DEXAMETHASONE
A01AC03;N;HYDROKORTISON;HYDROCORTISONE
A01AC04;N;PREDNISOLON;PREDNISOLONE
A01AC54;N;PREDNISOLON, KOMBINACE;PREDNISOLONE, COMBINATIONS
A01AD;N;JIN¡ L…»IVA PRO LOK¡LNÕ L…»BU V DUTINÃ ⁄STNÕ;OTHER AGENTS FOR LOCAL ORAL TREATMENT
A01AD01;N;EPINEFRIN;EPINEPHRINE
A01AD02;N;BENZYDAMIN;BENZYDAMINE
A01AD05;N;KYSELINA ACETYLSALICYLOV¡;ACETYLSALICYLIC ACID
A01AD06;N;ADRENALON;ADRENALONE
A01AD07;N;AMLEXANOX;AMLEXANOX
A01AD08;N;BEKAPLERMIN;BECAPLERMIN
A01AD11;N;RŸZN¡ JIN¡ L…»IVA PRO LOK¡LNÕ L…»BU V DUTINÃ ⁄STNÕ;VARIOUS
A02;N;L…»IVA K TERAPII ONEMOCNÃNÕ SPOJEN›CH S PORUCHOU ACIDITY;DRUGS FOR ACID RELATED DISORDERS
A02A;N;ANTACIDA;ANTACIDS
A02AA;N;SLOU»ENINY HOÿ»ÕKU;MAGNESIUM COMPOUNDS
A02AA01;N;UHLI»ITAN HOÿE»NAT›;MAGNESIUM CARBONATE
A02AA02;N;OXID HOÿE»NAT›;MAGNESIUM OXIDE
A02AA03;N;PEROXID HOÿE»NAT›;MAGNESIUM PEROXIDE
A02AA04;N;HYDROXID HOÿE»NAT›;MAGNESIUM HYDROXIDE
A02AA05;N;KÿEMI»ITAN HOÿE»NAT›;MAGNESIUM SILICATE
A02AA10;N;SLOU»ENINY HOÿ»ÕKU, KOMBINACE;COMBINATIONS
A02AB;N;SLOU»ENINY HLINÕKU;ALUMINIUM COMPOUNDS
A02AB01;N;HYDROXID HLINIT›;ALUMINIUM HYDROXIDE
A02AB02;N;ALGELDR¡T;ALGELDRATE
A02AB03;N;FOSFORE»NAN HLINIT›;ALUMINIUM PHOSPHATE
A02AB04;N;UHLI»ITAN DIHYDROXYHLINITO-SODN›;DIHYDROXIALUMINI SODIUM CARBONATE
A02AB05;N;ALUMINIUM-ACETYLACETON¡T;ALUMINIUM ACETOACETATE
A02AB06;N;ALOGLUTAMOL;ALOGLUTAMOL
A02AB07;N;DIHYDROXYALUMINIUM-GLYCIN¡T;ALUMINIUM GLYCINATE
A02AB10;N;SLOU»ENINY HLINÕKU, KOMBINACE;COMBINATIONS
A02AC;N;SLOU»ENINY V¡PNÕKU;CALCIUM COMPOUNDS
A02AC01;N;UHLI»ITAN V¡PENAT›;CALCIUM CARBONATE
A02AC02;N;KÿEMI»ITAN V¡PENAT›;CALCIUM SILICATE
A02AC10;N;SLOU»ENINY V¡PNÕKU, KOMBINACE;COMBINATIONS
A02AD;N;KOMBINACE A KOMPLEXY SLOU»ENIN HLINÕKU, V¡PNÕKU A HOÿ»ÕKU;COMBINATIONS AND COMPLEXES OF ALUMINIUM, CALCIUM AND MAGNESIUM COMPOUNDS
A02AD01;N;KOMBINACE BÃéN›CH SOLÕ;ORDINARY SALT COMBINATIONS
A02AD02;N;MAGALDR¡T;MAGALDRATE
A02AD03;N;ALMAG¡T;ALMAGATE
A02AD04;N;HYDROTALCIT;HYDROTALCITE
A02AD05;N;ALMASIL¡T;ALMASILATE
A02AF;N;ANTACIDA S ANTIFLATULENCII;ANTACIDS WITH ANTIFLATULENTS
A02AF01;N;MAGALDR¡T A ANTIFLATULENCIA;MAGALDRATE AND ANTIFLATULENTS
A02AF02;N;KOMBINACE BÃéN›CH SOLÕ S ANTIFLATULENCII;ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS
A02AG;N;ANTACIDA SE SPAZMOLYTIKY;ANTACIDS WITH ANTISPASMODICS
A02AH;N;ANTACIDA S UHLI»ITANEM SODN›M;ANTACIDS WITH SODIUM BICARBONATE
A02AX;N;ANTACIDA, JIN… KOMBINACE;ANTACIDS, OTHER COMBINATIONS
A02B;N;L…»IVA K TERAPII PEPTICK…HO VÿEDU A REFLUXNÕ CHOROBY JÕCNU;DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02BA;N;ANTAGONIST… H2-RECEPTORŸ;H2-RECEPTOR ANTAGONISTS
A02BA01;N;CIMETIDIN;CIMETIDINE
A02BA02;N;RANITIDIN;RANITIDINE
A02BA03;N;FAMOTIDIN;FAMOTIDINE
A02BA04;N;NIZATIDIN;NIZATIDINE
A02BA05;N;NIPEROTIDIN;NIPEROTIDINE
A02BA06;N;ROXATIDIN;ROXATIDINE
A02BA07;N;RANITIDIN-BISMUT-CITR¡T;RANITIDINE BISMUTH CITRATE
A02BA08;N;LAFUTIDIN;LAFUTIDINE
A02BA51;N;CIMETIDIN, KOMBINACE;CIMETIDINE, COMBINATIONS
A02BA53;N;FAMOTIDIN, KOMBINACE;FAMOTIDINE, COMBINATIONS
A02BB;N;PROSTAGLANDINY;PROSTAGLANDINS
A02BB01;N;MISOPROSTOL;MISOPROSTOL
A02BB02;N;ENPROSTIL;ENPROSTIL
A02BC;N;INHIBITORY PROTONOV… PUMPY;PROTON PUMP INHIBITORS
A02BC01;N;OMEPRAZOL;OMEPRAZOLE
A02BC02;N;PANTOPRAZOL;PANTOPRAZOLE
A02BC03;N;LANSOPRAZOL;LANSOPRAZOLE
A02BC04;N;RABEPRAZOL;RABEPRAZOLE
A02BC05;N;ESOMEPRAZOL;ESOMEPRAZOLE
A02BC06;N;DEXLANSOPRAZOL;DEXLANSOPRAZOLE
A02BC07;N;DEXRABEPRAZOL;DEXRABEPRAZOLE
A02BC08;N;VONOPRAZAN;VONOPRAZAN
A02BC09;N;TEGOPRAZAN;TEGOPRAZAN
A02BC10;N;FEXUPRAZAN;FEXUPRAZAN
A02BC11;N;ILAPRAZOL;ILAPRAZOLE
A02BC12;N;ZASTAPRAZAN;ZASTAPRAZAN
A02BC51;N;OMEPRAZOL, KOMBINACE;OMEPRAZOLE, COMBINATIONS
A02BC53;N;LANSOPRAZOL, KOMBINACE;LANSOPRAZOLE, COMBINATIONS
A02BC54;N;RABEPRAZOL, KOMBINACE;RABEPRAZOLE, COMBINATIONS
A02BD;N;KOMBINACE K ERADIKACI HELICOBACTER PYLORI;COMBINATIONS FOR ERADICATION OF HELICOBACTER PYLORI
A02BD01;N;OMEPRAZOL, AMOXICILIN A METRONIDAZOL;OMEPRAZOLE, AMOXICILLIN AND METRONIDAZOLE
A02BD02;N;LANSOPRAZOL, TETRACYKLIN A METRONIDAZOL;LANSOPRAZOLE, TETRACYCLINE AND METRONIDAZOLE
A02BD03;N;LANSOPRAZOL, AMOXICILIN A METRONIDAZOL;LANSOPRAZOLE, AMOXICILLIN AND METRONIDAZOLE
A02BD04;N;PANTOPRAZOL, AMOXICILIN A KLARITHROMYCIN;PANTOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN
A02BD05;N;OMEPRAZOL, AMOXICILIN A KLARITHROMYCIN;OMEPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN
A02BD06;N;ESOMEPRAZOL, AMOXICILIN A KLARITHROMYCIN;ESOMEPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN
A02BD07;N;LANSOPRAZOL, AMOXICILIN A KLARITHROMYCIN;LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN
A02BD08;N;Z¡SADIT› CITRONAN BISMUTIT›, TETRACYKLIN A METRONIDAZOL;BISMUTH SUBCITRATE, TETRACYCLINE AND METRONIDAZOLE
A02BD09;N;LANSOPRAZOL, KLARITHROMYCIN A TINIDAZOL;LANSOPRAZOLE, CLARITHROMYCIN AND TINIDAZOLE
A02BD10;N;LANSOPRAZOL, AMOXICILIN A LEVOFLOXACIN;LANSOPRAZOLE, AMOXICILLIN AND LEVOFLOXACIN
A02BD11;N;PANTOPRAZOL, AMOXICILIN, KLARITHROMYCIN A METRONIDAZOL;PANTOPRAZOLE, AMOXICILLIN, CLARITHROMYCIN AND METRONIDAZOLE
A02BD12;N;RABEPRAZOL, AMOXICILIN A KLARITHROMYCIN;RABEPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN
A02BD13;N;RABEPRAZOL, AMOXICILIN A METRONIDAZOL;RABEPRAZOLE, AMOXICILLIN AND METRONIDAZOLE
A02BD14;N;VONOPRAZAN, AMOXICILIN A KLARITHROMYCIN;VONOPRAZAN, AMOXICILLIN AND CLARITHROMYCIN
A02BD15;N;VONOPRAZAN, AMOXICILIN A METRONIDAZOL;VONOPRAZAN, AMOXICILLIN AND METRONIDAZOLE
A02BD16;N;OMEPRAZOL, AMOXICILIN A RIFABUTIN;OMEPRAZOLE, AMOXICILLIN AND RIFABUTIN
A02BD17;N;VONOPRAZAN A AMOXICILIN;VONOPRAZAN AND AMOXICILLIN
A02BX;N;JIN¡ L…»IVA K TERAPII PEPTICK…HO VÿEDU A REFLUXNÕ CHOROBY JÕCNU;OTHER DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02BX01;N;KARBENOXOLON;CARBENOXOLONE
A02BX02;N;SUKRALF¡T;SUCRALFATE
A02BX03;N;PIRENZEPIN;PIRENZEPINE
A02BX04;N;METHIOSULFONIUM-CHLORID;METHIOSULFONIUM CHLORIDE
A02BX05;N;Z¡SADIT› BISMUTUM(III)-CITR¡T;BISMUTH SUBCITRATE
A02BX06;N;PROGLUMID;PROGLUMIDE
A02BX07;N;GEFARN¡T;GEFARNATE
A02BX08;N;SULGLIKOTID;SULGLICOTIDE
A02BX09;N;ACETOXOLON;ACETOXOLONE
A02BX10;N;ZOLIMIDIN;ZOLIMIDINE
A02BX11;N;TROXIPID;TROXIPIDE
A02BX12;N;Z¡SADIT› DUSI»NAN BISMUTIT›;BISMUTH SUBNITRATE
A02BX13;N;KYSELINA ALGINOV¡;ALGINIC ACID
A02BX14;N;REBAMIPID;REBAMIPIDE
A02BX15;N;TEPRENON;TEPRENONE
A02BX16;N;IRSOGLADIN;IRSOGLADINE
A02BX51;N;KARBENOXOLON, KOMBINACE KROMÃ PSYCHOLEPTIK;CARBENOXOLONE, COMBINATIONS EXCL. PSYCHOLEPTICS
A02BX71;N;KARBENOXOLON, KOMBINACE S PSYCHOLEPTIKY;CARBENOXOLONE, COMBINATIONS WITH PSYCHOLEPTICS
A02BX77;N;GEFARN¡T, KOMBINACE S PSYCHOLEPTIKY;GEFARNATE, COMBINATIONS WITH PSYCHOLEPTICS
A02X;N;JIN¡ L…»IVA K TERAPII ONEMOCNÃNÕ SPOJEN›CH S PORUCHOU ACIDITY;OTHER DRUGS FOR ACID RELATED DISORDERS
A03;N;L…»IVA K TERAPII FUNK»NÕCH PORUCH GASTROINTESTIN¡LNÕHO TRAKTU;DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03A;N;L…»IVA K TERAPII FUNK»NÕCH PORUCH GASTROINTESTIN¡LNÕHO TRAKTU;DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03AA;N;SYNTETICK¡ ANTICHOLINERGIKA, ESTERY S TERCI¡RNÕ AMINOSKUPINOU;SYNTHETIC ANTICHOLINERGICS, ESTERS WITH TERTIARY AMINO GROUP
A03AA01;N;OXYFENCYKLIMIN;OXYPHENCYCLIMINE
A03AA03;N;KAMYLOFIN;CAMYLOFIN
A03AA04;N;MEBEVERIN;MEBEVERINE
A03AA05;N;TRIMEBUTIN;TRIMEBUTINE
A03AA06;N;ROCIVERIN;ROCIVERINE
A03AA07;N;DICYKLOVERIN;DICYCLOVERINE
A03AA08;N;DIHEXYVERIN;DIHEXYVERINE
A03AA09;N;DIFEMERIN;DIFEMERINE
A03AA30;N;PIPERIDOL¡T;PIPERIDOLATE
A03AB;N;SYNTETICK¡ ANTICHOLINERGIKA, KVARTERNÕ AMONIOV… SLOU»ENINY;SYNTHETIC ANTICHOLINERGICS, QUATERNARY AMMONIUM COMPOUNDS
A03AB01;N;BENZILONIUM;BENZILONE
A03AB02;N;GLYKOPYRRONIUM-BROMID;GLYCOPYRRONIUM BROMIDE
A03AB03;N;OXYFENONIUM;OXYPHENONIUM
A03AB04;N;PENTHIENACIUM;PENTHIENATE
A03AB05;N;PROPANTHELINIUM;PROPANTHELINE
A03AB06;N;OTILONIUM-BROMID;OTILONIUM BROMIDE
A03AB07;N;METHANTHELINIUM;METHANTHELINE
A03AB08;N;TRIDIHEXETHYLIUM;TRIDIHEXETHYL
A03AB09;N;ISOPROPAMID;ISOPROPAMIDE
A03AB10;N;HEXOCYKLIUM;HEXOCYCLIUM
A03AB11;N;POLDINIUM;POLDINE
A03AB12;N;MEPENZOLACIUM;MEPENZOLATE
A03AB13;N;BEVONIUM;BEVONIUM
A03AB14;N;PIPENZOLACIUM;PIPENZOLATE
A03AB15;N;DIFEMANILIUM;DIPHEMANIL
A03AB16;N;DIFENHYDRAMIN-JODID;(2-BENZHYDRYLOXYETHYL)DIETHYL-METHYLAMMONIUM IODIDE
A03AB17;N;TIEMONIUM-JODID;TIEMONIUM IODIDE
A03AB18;N;PRIFINIUM-BROMID;PRIFINIUM BROMIDE
A03AB19;N;TIMEPIDIUM-BROMID;TIMEPIDIUM BROMIDE
A03AB21;N;FENPIVERINIUM;FENPIVERINIUM
A03AB53;N;OXYFENONIUM, KOMBINACE;OXYPHENONIUM, COMBINATIONS
A03AC;N;SYNTETICK¡ SPAZMOLYTIKA, AMIDY S TERCI¡RNÕMI AMINY;SYNTHETIC ANTISPASMODICS, AMIDES WITH TERTIARY AMINES
A03AC02;N;DIMETHYLAMINOPROPIONYLFENOTHIAZIN;DIMETHYLAMINOPROPIONYLPHENOTHIAZINE
A03AC04;N;NIKOFETAMID;NICOFETAMIDE
A03AC05;N;TIROPRAMID;TIROPRAMIDE
A03AD;N;PAPAVERIN A DERIV¡TY;PAPAVERINE AND DERIVATIVES
A03AD01;N;PAPAVERIN;PAPAVERINE
A03AD02;N;DROTAVERIN;DROTAVERINE
A03AD30;N;MOXAVERIN;MOXAVERINE
A03AE;N;ANTAGONIST… SEROTONINOV›CH RECEPTORŸ;SEROTONIN RECEPTOR ANTAGONISTS
A03AE01;N;ALOSETRON;ALOSETRON
A03AE03;N;CILANSETRON;CILANSETRON
A03AX;N;JIN¡ L…»IVA K TERAPII FUNK»NÕCH PORUCH GASTROINTESTIN¡LNÕHO TRAKTU;OTHER DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03AX01;N;FENPIPRAN;FENPIPRANE
A03AX02;N;DIISOPROMIN;DIISOPROMINE
A03AX03;N;CHLORBENZOXAMIN;CHLORBENZOXAMINE
A03AX04;N;PINAVERIUM;PINAVERIUM
A03AX05;N;FENOVERIN;FENOVERINE
A03AX06;N;IDANPRAMIN;IDANPRAMINE
A03AX07;N;PROXAZOL;PROXAZOLE
A03AX08;N;ALVERIN;ALVERINE
A03AX09;N;TREPIBUTON;TREPIBUTONE
A03AX10;N;ISOMETHEPTEN;ISOMETHEPTENE
A03AX11;N;KAROVERIN;CAROVERINE
A03AX12;N;FLOROGLUCINOL;PHLOROGLUCINOL
A03AX13;N;SILIKONY;SILICONES
A03AX14;N;VALETHAM¡T;VALETHAMATE
A03AX15;N;SILICE M¡TY PEPRN…;MENTHAE PIPERITAE AETHEROLEUM
A03AX30;N;TRIMETHYLDIFENYLPROPYLAMIN;TRIMETHYLDIPHENYLPROPYLAMINE
A03AX58;N;ALVERIN, KOMBINACE;ALVERINE, COMBINATIONS
A03B;N;ALKALOIDY RULÕKU A DERIV¡TY, SAMOTN…;BELLADONNA AND DERIVATIVES, PLAIN
A03BA;N;ALKALOIDY RULÕKU, TERCI¡RNÕ AMINY;BELLADONNA ALKALOIDS, TERTIARY AMINES
A03BA01;N;ATROPIN;ATROPINE
A03BA03;N;HYOSCYAMIN;HYOSCYAMINE
A03BA04;N;VäECHNY ALKALOIDY RULÕKU;BELLADONNA TOTAL ALKALOIDS
A03BB;N;ALKALOIDY RULÕKU, SEMISYNTETICK… KVARTERNÕ AMONIOV… SLOU»ENINY;BELLADONNA ALKALOIDS, SEMISYNTHETIC, QUATERNARY AMMONIUM COMPOUNDS
A03BB01;N;BUTYLSKOPOLAMINIUM;BUTYLSCOPOLAMINE
A03BB02;N;METHYLATROPINIUM;METHYLATROPINE
A03BB03;N;METHYLSKOPOLAMINIUM;METHYLSCOPOLAMINE
A03BB04;N;FENTONIUM;FENTONIUM
A03BB05;N;CIMETROPIUM-BROMID;CIMETROPIUM BROMIDE
A03BB06;N;HOMATROPIN-METHYLBROMID;HOMATROPINE METHYLBROMIDE
A03C;N;SPAZMOLYTIKA V KOMBINACI S PSYCHOLEPTIKY;ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS
A03CA;N;SYNTETICK¡ ANTICHOLINERGIKA V KOMBINACI S PSYCHOLEPTIKY;SYNTHETIC ANTICHOLINERGIC AGENTS IN COMBINATION WITH PSYCHOLEPTICS
A03CA01;N;ISOPROPAMID A PSYCHOLEPTIKA;ISOPROPAMIDE AND PSYCHOLEPTICS
A03CA02;N;KLIDINIUM A PSYCHOLEPTIKA;CLIDINIUM AND PSYCHOLEPTICS
A03CA03;N;OXYFENCYKLIMIN A PSYCHOLEPTIKA;OXYPHENCYCLIMINE AND PSYCHOLEPTICS
A03CA04;N;OTILONIUM-BROMID A PSYCHOLEPTIKA;OTILONIUM BROMIDE AND PSYCHOLEPTICS
A03CA05;N;GLYKOPYRRONIUM-BROMID A PSYCHOLEPTIKA;GLYCOPYRRONIUM BROMIDE AND PSYCHOLEPTICS
A03CA06;N;BEVONIUM A PSYCHOLEPTIKA;BEVONIUM AND PSYCHOLEPTICS
A03CA07;N;AMBUTONIUM A PSYCHOLEPTIKA;AMBUTONIUM AND PSYCHOLEPTICS
A03CA08;N;DIFEMANILIUM A PSYCHOLEPTIKA;DIPHEMANIL AND PSYCHOLEPTICS
A03CA09;N;PIPENZOLACIUM A PSYCHOLEPTIKA;PIPENZOLATE AND PSYCHOLEPTICS
A03CA30;N;EMEPRONIUM A PSYCHOLEPTIKA;EMEPRONIUM AND PSYCHOLEPTICS
A03CA34;N;PROPANTHELINIUM A PSYCHOLEPTIKA;PROPANTHELINE AND PSYCHOLEPTICS
A03CB;N;ALKALOIDY RULÕKU A DERIV¡TY V KOMBINACI S PSYCHOLEPTIKY;BELLADONNA AND DERIVATIVES IN COMBINATION WITH PSYCHOLEPTICS
A03CB01;N;METHYLSKOPOLAMINIUM A PSYCHOLEPTIKA;METHYLSCOPOLAMINE AND PSYCHOLEPTICS
A03CB02;N;VäECHNY ALKALOIDY RULÕKU A PSYCHOLEPTIKA;BELLADONNA TOTAL ALKALOIDS AND PSYCHOLEPTICS
A03CB03;N;ATROPIN A PSYCHOLEPTIKA;ATROPINE AND PSYCHOLEPTICS
A03CB04;N;HOMATROPIN-METHYLBROMID A PSYCHOLEPTIKA;HOMATROPINE METHYLBROMIDE AND PSYCHOLEPTICS
A03CB31;N;HYOSCYAMIN A PSYCHOLEPTIKA;HYOSCYAMINE AND PSYCHOLEPTICS
A03CC;N;JIN¡ SPAZMOLYTIKA V KOMBINACI S PSYCHOLEPTIKY;OTHER ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS
A03D;N;SPAZMOLYTIKA V KOMBINACI S ANALGETIKY;ANTISPASMODICS IN COMBINATION WITH ANALGESICS
A03DA;N;SYNTETICK¡ ANTICHOLINERGIKA V KOMBINACI S ANALGETIKY;SYNTHETIC ANTICHOLINERGIC AGENTS IN COMBINATION WITH ANALGESICS
A03DA01;N;TROPENZILINIUM A ANALGETIKA;TROPENZILONE AND ANALGESICS
A03DA02;N;PITOFENON A ANALGETIKA;PITOFENONE AND ANALGESICS
A03DA03;N;BEVONIUM A ANALGETIKA;BEVONIUM AND ANALGESICS
A03DA04;N;CIKLONIUM A ANALGETIKA;CICLONIUM AND ANALGESICS
A03DA05;N;KAMYLOFIN A ANALGETIKA;CAMYLOFIN AND ANALGESICS
A03DA06;N;TROSPIUM A ANAGETIKA;TROSPIUM AND ANALGESICS
A03DA07;N;TIEMONIUM-JODID A ANALGETIKA;TIEMONIUM IODIDE AND ANALGESICS
A03DB;N;ALKALOIDY RULÕKU A DERIV¡TY V KOMBINACI S ANALGETIKY;BELLADONNA AND DERIVATIVES IN COMBINATION WITH ANALGESICS
A03DB04;N;BUTYLSKOPOLAMINIUM A ANALGETIKA;BUTYLSCOPOLAMINE AND ANALGESICS
A03DC;N;JIN¡ SPAZMOLYTIKA V KOMBINACI S ANALGETIKY;OTHER ANTISPASMODICS IN COMBINATION WITH ANALGESICS
A03E;N;SPAZMOLYTIKA A ANTICHOLINERGIKA V KOMBINACI S DALäÕMI L…»IVY;ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS
A03EA;N;SPAZMOLYTIKA, PSYCHOLEPTIKA A ANALGETIKA V KOMBINACI;ANTISPASMODICS, PSYCHOLEPTICS AND ANALGESICS IN COMBINATION
A03ED;N;SPAZMOLYTIKA V KOMBINACI S JIN›MI L…»IVY;ANTISPASMODICS IN COMBINATION WITH OTHER DRUGS
A03F;N;PROKINETIKA;PROPULSIVES
A03FA;N;PROKINETIKA;PROPULSIVES
A03FA01;N;METOKLOPRAMID;METOCLOPRAMIDE
A03FA02;N;CISAPRID;CISAPRIDE
A03FA03;N;DOMPERIDON;DOMPERIDONE
A03FA04;N;BROMOPRID;BROMOPRIDE
A03FA05;N;ALIZAPRID;ALIZAPRIDE
A03FA06;N;KLEBOPRID;CLEBOPRIDE
A03FA07;N;ITOPRID;ITOPRIDE
A03FA08;N;CINITAPRID;CINITAPRIDE
A03FA09;N;MOSAPRID;MOSAPRIDE
A03FA10;N;AKOTIAMID;ACOTIAMIDE
A04;N;ANTIEMETIKA;ANTIEMETICS AND ANTINAUSEANTS
A04A;N;ANTIEMETIKA;ANTIEMETICS AND ANTINAUSEANTS
A04AA;N;ANTAGONIST… SEROTONINOV›CH 5HT3 RECEPTORŸ;SEROTONIN (5HT3) ANTAGONISTS
A04AA01;N;ONDANSETRON;ONDANSETRON
A04AA02;N;GRANISETRON;GRANISETRON
A04AA03;N;TROPISETRON;TROPISETRON
A04AA04;N;DOLASETRON;DOLASETRON
A04AA05;N;PALONOSETRON;PALONOSETRON
A04AA55;N;PALONOSETRON, KOMBINACE;PALONOSETRON, COMBINATIONS
A04AD;N;JIN¡ ANTIEMETIKA;OTHER ANTIEMETICS
A04AD01;N;SKOPOLAMIN;SCOPOLAMINE
A04AD02;N;äçAVELAN CERIT›;CERIUM OXALATE
A04AD04;N;CHLORBUTANOL;CHLOROBUTANOL
A04AD05;N;METOPIMAZIN;METOPIMAZINE
A04AD10;N;DRONABINOL;DRONABINOL
A04AD11;N;NABILON;NABILONE
A04AD12;N;APREPITANT;APREPITANT
A04AD13;N;KASOPITANT;CASOPITANT
A04AD14;N;ROLAPITANT;ROLAPITANT
A04AD51;N;SKOPOLAMIN, KOMBINACE;SCOPOLAMINE, COMBINATIONS
A04AD54;N;CHLORBUTANOL, KOMBINACE;CHLOROBUTANOL, COMBINATIONS
A05;N;L…»IVA K TERAPII ONEMOCNÃNÕ JATER A éLU»OV›CH CEST;BILE AND LIVER THERAPY
A05A;N;L…»IVA K TERAPII ONEMOCNÃNÕ éLU»NÕKU;BILE THERAPY
A05AA;N;éLU»OV… KYSELINY A DERIV¡TY;BILE ACIDS AND DERIVATIVES
A05AA01;N;KYSELINA CHENODEOXYCHOLOV¡;CHENODEOXYCHOLIC ACID
A05AA02;N;KYSELINA URSODEOXYCHOLOV¡;URSODEOXYCHOLIC ACID
A05AA03;N;KYSELINA CHOLOV¡;CHOLIC ACID
A05AA04;N;KYSELINA OBETICHOLOV¡;OBETICHOLIC ACID
A05AA05;N;URSODOXICHOLTAURIN;URSODOXICOLTAURINE
A05AA06;N;KYSELINA NORUCHOLOV¡;NORUCHOLIC ACID
A05AB;N;L…»IVA K TERAPII ONEMOCNÃNÕ éLU»OV›CH CEST;PREPARATIONS FOR BILIARY TRACT THERAPY
A05AB01;N;NIKOMETAMID;NICOTINYL METHYLAMIDE
A05AX;N;JIN¡ L…»IVA K TERAPII ONEMOCNÃNÕ éLU»OV›CH CEST;OTHER DRUGS FOR BILE THERAPY
A05AX01;N;PIPROZOLIN;PIPROZOLIN
A05AX02;N;HYMECHROMON;HYMECROMONE
A05AX03;N;CYKLOBUTYROL;CYCLOBUTYROL
A05AX04;N;MARALIXIBAT-CHLORID;MARALIXIBAT CHLORIDE
A05AX05;N;ODEVIXIBAT;ODEVIXIBAT
A05AX06;N;ELAFIBRANOR;ELAFIBRANOR
A05AX07;N;SELADELPAR;SELADELPAR
A05AX08;N;LINERIXIB¡T;LINERIXIBAT
