KOD_LATKY;NAZEV_INN;NAZEV_EN;NAZEV;ZAV
7272;PRASTERONUM;PRASTERONE;PRASTERON;
7307;POLIHEXANIDUM;POLIHEXANIDE;POLYHEXANID;
7326;ACIDUM MYCOPHENOLICUM;MYCOPHENOLIC ACID;KYSELINA MYKOFENOLOV¡;
7363;DOXORUBICINUM;DOXORUBICIN;DOXORUBICIN;
7369;FOSFOMYCINUM;FOSFOMYCIN;FOSFOMYCIN;
7378;SEVOFLURANUM;SEVOFLURANE;SEVOFLURAN;
7402;CALCIFEDIOLUM;CALCIFEDIOL;KALCIFEDIOL;
7433;TREOSULFANUM;TREOSULFAN;TREOSULFAN;
7445;GLUCOSAMINUM;GLUCOSAMINE;GLUKOSAMIN;
7549;MEXILETINUM;MEXILETINE;MEXILETIN;
7567;ISOFLURANUM;ISOFLURANE;ISOFLURAN;
7579;GLIQUIDONUM;GLIQUIDONE;GLICHIDON;
7599;DOBUTAMINUM;DOBUTAMINE;DOBUTAMIN;
7616;ETOFENAMATUM;ETOFENAMATE;ETOFENAM¡T;
7622;NALTREXONUM;NALTREXONE;NALTREXON;
7627;AMINOFLUORIDA MIXTA;AMINOFLUORIDE MIX;SMÃS AMINOFLUORIDŸ;
7653;BUPRENORPHINUM;BUPRENORPHINE;BUPRENORFIN;5
7702;METOPROLOLUM;METOPROLOL;METOPROLOL;
7775;BUPROPIONUM;BUPROPION;BUPROPION;
7861;LEVOMENOLUM;LEVOMENOL;LEVOMENOL;
7931;STIRIPENTOLUM;STIRIPENTOL;STIRIPENTOL;
7979;PIRFENIDONUM;PIRFENIDONE;PIRFENIDON;
8006;MEPARTRICINUM;MEPARTRICIN;MEPARTRICIN;
8021;FLUOXETINUM;FLUOXETINE;FLUOXETIN;
8030;PRAZIQUANTELUM;PRAZIQUANTEL;PRAZIKVANTEL;
8065;TORASEMIDUM;TORASEMIDE;TORASEMID;
8078;MEMANTINUM;MEMANTINE;MEMANTIN;
8135;SULODEXIDUM;SULODEXIDE;SULODEXID;
8151;CARBOPROSTUM;CARBOPROST;KARBOPROST;
8170;AZELASTINUM;AZELASTINE;AZELASTIN;
8217;CITALOPRAMUM;CITALOPRAM;CITALOPRAM;
8224;NAPHAZOLINUM;NAPHAZOLINE;NAFAZOLIN;
8280;GESTODENUM;GESTODENE;GESTODEN;
8340;OTILONII BROMIDUM;OTILONIUM BROMIDE;OTILONIUM-BROMID;
8342;PAROXETINUM;PAROXETINE;PAROXETIN;
8376;TIRATRICOLUM;TIRATRICOL;TIRATRIKOL;
8378;DIOSMINUM;DIOSMIN;DIOSMIN;
8386;DESOGESTRELUM;DESOGESTREL;DESOGESTREL;
8392;CALCITRIOLUM;CALCITRIOL;KALCITRIOL;
8397;INDOBUFENUM;INDOBUFEN;INDOBUFEN;
8444;ZOPICLONUM;ZOPICLONE;ZOPIKLON;
8468;ALFACALCIDOLUM;ALFACALCIDOL;ALFAKALCIDOL;
8494;AZACITIDINUM;AZACITIDINE;AZACITIDIN;
8500;ACARBOSUM;ACARBOSE;AKARBOSA;
8502;BETAXOLOLUM;BETAXOLOL;BETAXOLOL;
8526;CINITAPRIDUM;CINITAPRIDE;CINITAPRID;
8570;ALCLOMETASONUM;ALCLOMETASONE;ALKLOMETASON;
8571;ISOTRETINOINUM;ISOTRETINOIN;ISOTRETINOIN;
8575;SUCCIMERUM;SUCCIMER;SUKCIMER;
8604;TRIENTINUM;TRIENTINE;TRIENTIN;
8608;ANAGRELIDUM;ANAGRELIDE;ANAGRELID;
8630;TIZANIDINUM;TIZANIDINE;TIZANIDIN;
8668;NITRENDIPINUM;NITRENDIPINE;NITRENDIPIN;
8747;TERAZOSINUM;TERAZOSIN;TERAZOSIN;
8749;SULBACTAMUM;SULBACTAM;SULBAKTAM;
8776;DEFIBROTIDUM;DEFIBROTIDE;DEFIBROTID;
8777;FELODIPINUM;FELODIPINE;FELODIPIN;
8782;NIMESULIDUM;NIMESULIDE;NIMESULID;
8801;MOCLOBEMIDUM;MOCLOBEMIDE;MOKLOBEMID;
8806;IOPROMIDUM;IOPROMIDE;JOPROMID;
8809;CEFTRIAXONUM;CEFTRIAXONE;CEFTRIAXON;
8821;FORMOTEROLUM;FORMOTEROL;FORMOTEROL;
8840;AMISULPRIDUM;AMISULPRIDE;AMISULPRID;
8851;ILOPROSTUM;ILOPROST;ILOPROST;
8878;PEFLOXACINUM;PEFLOXACIN;PEFLOXACIN;
8889;PROPIVERINUM;PROPIVERINE;PROPIVERIN;
8893;LEUPRORELINUM;LEUPRORELIN;LEUPRORELIN;
8915;CINOLAZEPAMUM;CINOLAZEPAM;CINOLAZEPAM;
8934;PROPOFOLUM;PROPOFOL;PROPOFOL;
8939;LEFLUNOMIDUM;LEFLUNOMIDE;LEFLUNOMID;
8940;OMEPRAZOLUM;OMEPRAZOLE;OMEPRAZOL;
8945;PROCAINI BENZYLPENICILLINUM;PROCAINE BENZYLPENICILLIN;PROKAIN-BENZYLPENICILIN;
8952;GABAPENTINUM;GABAPENTIN;GABAPENTIN;
8960;NORFLOXACINUM;NORFLOXACIN;NORFLOXACIN;
8994;DOXAZOSINUM;DOXAZOSIN;DOXAZOSIN;
9002;SULTAMICILLINUM;SULTAMICILLIN;SULTAMICILIN;
9005;MISOPROSTOLUM;MISOPROSTOL;MISOPROSTOL;
9006;TEICOPLANINUM;TEICOPLANIN;TEIKOPLANIN;
9009;AZTREONAMUM;AZTREONAM;AZTREONAM;
9020;EPIRUBICINUM;EPIRUBICIN;EPIRUBICIN;
9030;IMIPENEMUM;IMIPENEM;IMIPENEM;
9033;MEBROFENINUM;MEBROFENIN;MEBROFENIN;
9037;NALMEFENUM;NALMEFENE;NALMEFEN;
9054;MOXONIDINUM;MOXONIDINE;MOXONIDIN;
9064;FAMOTIDINUM;FAMOTIDINE;FAMOTIDIN;
9072;BISOPROLOLUM;BISOPROLOL;BISOPROLOL;
9086;RIFAXIMINUM;RIFAXIMIN;RIFAXIMIN;
9115;MUPIROCINUM;MUPIROCIN;MUPIROCIN;
9116;SERTRALINUM;SERTRALINE;SERTRALIN;
9125;DIENOGESTUM;DIENOGEST;DIENOGEST;
9149;FLUMAZENILUM;FLUMAZENIL;FLUMAZENIL;
9158;OFLOXACINUM;OFLOXACIN;OFLOXACIN;
9168;CARVEDILOLUM;CARVEDILOL;KARVEDILOL;
9188;ATOMOXETINUM;ATOMOXETINE;ATOMOXETIN;
9215;MILRINONUM;MILRINONE;MILRINON;
9219;ITRACONAZOLUM;ITRACONAZOLE;ITRAKONAZOL;
9222;LEVOCABASTINUM;LEVOCABASTINE;LEVOKABASTIN;
9230;NAFARELINUM;NAFARELIN;NAFARELIN;
9239;TERIPARATIDUM;TERIPARATIDE;TERIPARATID;
9253;LISINOPRILUM;LISINOPRIL;LISINOPRIL;
9268;MESALAZINUM;MESALAZINE;MESALAZIN;
9270;CIPROFLOXACINUM;CIPROFLOXACIN;CIPROFLOXACIN;
9276;ENOXAPARINUM NATRICUM;ENOXAPARIN SODIUM;SODN¡ SŸL ENOXAPARINU;
9281;CILASTATINUM;CILASTATIN;CILASTATIN;
9288;IDEBENONUM;IDEBENONE;IDEBENON;
9302;ADEMETIONINUM;ADEMETIONINE;ADEMETHIONIN;
9325;PERMETHRINUM;PERMETHRIN;PERMETHRIN;
9339;METHYLPREDNISOLONI ACEPONAS;METHYLPREDNISOLONE ACEPONATE;METHYLPREDNISOLON-ACEPON¡T;
9344;ACITRETINUM;ACITRETIN;ACITRETIN;
9361;DRONABINOLUM;DRONABINOL;DRONABINOL;5
9364;EFLORNITHINUM;EFLORNITHINE;EFLORNITHIN;
9374;RAMIPRILUM;RAMIPRIL;RAMIPRIL;
9386;ZONISAMIDUM;ZONISAMIDE;ZONISAMID;
9388;ACIDUM TAUROSELCHOLICUM;TAUROSELCHOLIC ACID;KYSELINA TAUROSELCHOLOV¡;
9389;SALMETEROLUM;SALMETEROL;SALMETEROL;
9392;VIGABATRINUM;VIGABATRIN;VIGABATRIN;
