KOD_LATKY;NAZEV_INN;NAZEV_EN;NAZEV;ZAV
1;ABSINTHII HERBA;WORMWOOD;PELY“KOV¡ NAç;
12;ACIDUM ACETYLSALICYLICUM;ACETYLSALICYLIC ACID;KYSELINA ACETYLSALICYLOV¡;
14;MILLEFOLII HERBA;YARROW;ÿEBÿÕ»KOV¡ NAç;
16;CHLOROPROCAINI HYDROCHLORIDUM;CHLOROPROCAINE HYDROCHLORIDE;CHLORPROKAIN-HYDROCHLORID;
17;ACONITI TINCTURA;ACONITE TINCTURE;OMÃJOV¡ TINKTURA;
19;ADENOSINUM;ADENOSINE;ADENOSIN;
22;GILTERITINIBI FUMARAS;GILTERITINIB FUMARATE;GILTERITINIB-FUMAR¡T;
27;ALANINUM;ALANINE;ALANIN;
30;ALGELDRATUM;ALGELDRATE;ALGELDR¡T;
31;NATRII ALGINAS;SODIUM ALGINATE;NATRIUM-ALGIN¡T;
35;ALLANTOINUM;ALLANTOIN;ALANTOIN;
37;SUNITINIBI CYCLAMAS;SUNITINIB CYCLAMATE;SUNITINIB CYKLAM¡T;
38;GOZETOTIDUM;GOZETOTIDE;GOZETOTID;
41;SITAGLIPTINI HYDROCHLORIDUM MONOHYDRICUM;SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE;MONOHYDR¡T SITAGLIPTIN-HYDROCHLORIDU;
43;ALUMINII HYDROXIDUM;ALUMINIUM HYDROXIDE;HYDROXID HLINIT›;
45;ALGELDRATI SUSPENSIO;ALGELDRATE SUSPENSION;SUSPENZE ALGELDR¡TU;
48;ALVERINI CITRAS;ALVERINE CITRATE;ALVERIN-CITR¡T;
55;GLYCINUM;GLYCINE;GLYCIN;
61;AMINOPHYLLINUM;AMINOPHYLLINE;AMINOFYLIN;
65;AMITRIPTYLINUM;AMITRIPTYLINE;AMITRIPTYLIN;
76;AMPHOTERICINUM B;AMPHOTERICIN B;AMFOTERICIN B;
77;AMPICILLINUM;AMPICILLIN;AMPICILIN;
78;AMPICILLINUM NATRICUM;AMPICILLIN SODIUM;SODN¡ SŸL AMPICILINU;
82;RELEBACTAMUM MONOHYDRICUM;RELEBACTAM MONOHYDRATE;MONOHYDR¡T RELEBAKTAMU;
83;AMYLMETACRESOLUM;AMYLMETACRESOL;AMYLMETAKRESOL;
87;ANGELICAE ARCHANGELICAE RADIX;ANGELICA ARCHANGELICA ROOT;KOÿEN ANDÃLIKY L…KAÿSK…;
90;ANTAZOLINI HYDROCHLORIDUM;ANTAZOLINE HYDROCHLORIDE;ANTAZOLIN-HYDROCHLORID;
93;APOMORPHINI HYDROCHLORIDUM HEMIHYDRICUM;APOMORPHINE HYDROCHLORIDE HEMIHYDRATE;HEMIHYDR¡T APOMORFIN-HYDROCHLORIDU;
95;ARACHIDIS OLEUM RAFFINATUM;ARACHIS OIL, REFINED;»IäTÃN› PODZEMNICOV› OLEJ;
96;ARGININUM;ARGININE;ARGININ;
99;ARNICAE TINCTURA;ARNICA TINCTURE;ARNIKOV¡ TINKTURA;
102;ACIDUM ASCORBICUM;ASCORBIC ACID;KYSELINA ASKORBOV¡;
103;ACIDUM ASPARTICUM;ASPARTIC ACID;KYSELINA ASPARAGOV¡;
110;ATROPINI SULFAS MONOHYDRICUS;ATROPINE SULFATE MONOHYDRATE;MONOHYDR¡T ATROPIN-SULF¡TU;
115;BACITRACINUM;BACITRACIN;BACITRACIN;
116;BACITRACINUM ZINCUM;BACITRACIN ZINC;ZINE»NAT› KOMPLEX BACITRACINU;
125;PLANTAGINIS EXTRACTUM SICCUM;RIBWORT DRY EXTRACT;SUCH› JITROCELOV› EXTRAKT;
129;FOSNETUPITANTI CHLORIDI HYDROCHLORIDUM;FOSNETUPITANT CHLORIDE HYDROCHLORIDE;FOSNETUPITANT-CHLORID-HYDROCHLORID;
138;BENFOTIAMINUM;BENFOTIAMINE;BENFOTIAMIN;
141;BENZALKONII CHLORIDUM;BENZALKONIUM CHLORIDE;BENZALKONIUM-CHLORID;
142;BENZATHINI BENZYLPENICILLINUM;BENZATHINE BENZYLPENICILLIN;BENZATHIN-BENZYLPENICILIN;
143;LACTOBACILLUS GASSERI;LACTOBACILLUS GASSERI;LACTOBACILLUS GASSERI;
149;BENZOYLIS PEROXIDUM;BENZOYL PEROXIDE;BENZOYL-PEROXID;
151;BENZYDAMINI HYDROCHLORIDUM;BENZYDAMINE HYDROCHLORIDE;BENZYDAMIN-HYDROCHLORID;
154;BENZOXONII CHLORIDUM;BENZOXONIUM CHLORIDE;BENZOXONIUM-CHLORID;
156;LAROTRECTINIBI SULFAS;LAROTRECTINIB SULFATE;LAROTREKTINIB-SULF¡T;
158;BENZYLPENICILLINUM KALICUM;BENZYLPENICILLIN POTASSIUM;DRASELN¡ SŸL BENZYLPENICILINU;
159;BENZYLPENICILLINUM NATRICUM;BENZYLPENICILLIN SODIUM;SODN¡ SŸL BENZYLPENICILINU;
162;BETAINUM;BETAINE;BETAIN;
164;BETAMETHASONUM;BETAMETHASONE;BETAMETHASON;
167;BETAMETHASONI VALERAS;BETAMETHASONE VALERATE;BETAMETHASON-VALER¡T;
170;BETULAE FOLIUM;BIRCH LEAF;BÿEZOV› LIST;
173;BIOTINUM;BIOTIN;BIOTIN;
174;BISACODYLUM;BISACODYL;BISAKODYL;
180;BISMUTHI SUBGALLAS;BISMUTH SUBGALLATE;Z¡SADIT› BISMUTUM(III)-GALL¡T;
185;NETARSUDILI MESILAS;NETARSUDIL MESILATE;NETARSUDIL-MESIL¡T;
186;OSILODROSTATI PHOSPHAS;OSILODROSTAT PHOSPHATE;OSILODROSTAT-FOSF¡T;
188;SIPONIMODUM ET ACIDUM FUMARICUM;SIPONIMOD FUMARIC ACID;SIPONIMOD S KYSELINOU FUMAROVOU;
189;ACIDUM BORICUM;BORIC ACID;KYSELINA BORIT¡;
190;SACCHAROMYCES BOULARDII CRYODESICCATUS;FREEZE-DRIED SACCHAROMYCES BOULARDII;LYOFILYZOVAN… SACCHAROMYCES BOULARDII;
194;BROMELAINA;BROMELAINS;BROMELAINY;
195;VIBRIO CHOLERAE O1 INABA CVD 103-HGR VIVUS ATTENUATUS;VIBRIO CHOLERAE  O1 INABA CVD 103-HGR LIVE ATTENUATED;éIV… OSLABEN… VIBRIO CHOLERAE O1 INABA CVD 103-HGR;
207;GIVOSIRANUM NATRICUM;GIVOSIRAN SODIUM;SODN¡ SŸL GIVOSIRANU;
208;BUPIVACAINUM;BUPIVACAINE;BUPIVAKAIN;
209;BUPIVACAINI HYDROCHLORIDUM;BUPIVACAINE HYDROCHLORIDE;BUPIVAKAIN-HYDROCHLORID;
216;CEFIDEROCOLI SULFAS TOSILAS HYDRICUS;CEFIDEROCOL SULFATE TOSILATE HYDRATE;HYDR¡T CEFIDEROKOL-SULF¡T-TOSIL¡TU;
221;OZANIMODI HYDROCHLORIDUM;OZANIMOD HYDROCHLORIDE;OZANIMOD-HYDROCHLORID;
223;COFFEINUM;CAFFEINE;KOFEIN;
224;FILGOTINIBI MALEAS;FILGOTINIB MALEATE;FILGOTINIB-MALEIN¡T;
226;COFFEINI CITRAS;CAFFEINE CITRATE;KOFEIN S KYSELINOU CITRONOVOU;
228;CALAMI RADIX;CALAMUS ROOT;PUäKVORCOV› KOÿEN;
231;CALCIUM;CALCIUM;V¡PNÕK;
234;CALCII CARBONAS;CALCIUM CARBONATE;UHLI»ITAN V¡PENAT›;
235;CALCII CHLORIDUM;CALCIUM CHLORIDE;CHLORID V¡PENAT›;
238;CALCII GLUCONAS MONOHYDRICUS;CALCIUM GLUCONATE MONOHYDRATE;MONOHYDR¡T KALCIUM-GLUKON¡TU;
242;SELUMETINIBI SULFAS;SELUMETINIB SULFATE;SELUMETINIB-SULF¡T;
244;CALCII LACTOPHOSPHAS;CALCIUM LACTOPHOSPHATE;V¡PENAT¡ SŸL LAKTOFOSF¡TU;
245;BILASTINUM MONOHYDRICUM;BILASTINE MONOHYDRATE;MONOHYDR¡T BILASTINU;
248;CAMPHORA;CAMPHOR;KAFR;
258;CINCHONINI HYDROCHLORIDUM;CINCHONINE HYDROCHLORIDE;CINCHONIN-HYDROCHLORID;
259;CINCHONIDINI HYDROCHLORIDUM;CINCHONIDINE HYDROCHLORIDE;CINCHONIDIN-HYDROCHLORID;
260;CINCHONINUM;CINCHONINE;CINCHONIN;
261;CARVI ETHEROLEUM;CARAWAY OIL;KMÕNOV¡ SILICE;
267;CINCHONIDINUM;CINCHONIDINE;CINCHONIDIN;
274;ODEVIXIBATUM SESQUIHYDRICUM;ODEVIXIBAT SESQUIHYDRATE;SESKVIHYDR¡T ODEVIXIB¡TU;
288;CETYLPYRIDINII CHLORIDUM;CETYLPYRIDINIUM CHLORIDE;CETYLPYRIDINIUM-CHLORID;
289;MATRICARIAE FLOS;MATRICARIA FLOWER;HEÿM¡NKOV› KVÃT;
291;CARBO ACTIVATUS;CHARCOAL, ACTIVATED;AKTIVNÕ UHLÕ;
297;CHLORAMPHENICOLUM;CHLORAMPHENICOL;CHLORAMFENIKOL;
302;CHLORDIAZEPOXIDUM;CHLORDIAZEPOXIDE;CHLORDIAZEPOXID;7
305;CHLORHEXIDINI DIGLUCONAS;CHLORHEXIDINE DIGLUCONATE;CHLORHEXIDIN-DIGLUKON¡T;
306;CHLORHEXIDINI DIHYDROCHLORIDUM;CHLORHEXIDINE DIHYDROCHLORIDE;CHLORHEXIDIN-DIHYDROCHLORID;
308;CHLORMADINONI ACETAS;CHLORMADINONE ACETATE;CHLORMADINON-ACET¡T;
313;CHLOROCRESOLUM;CHLOROCRESOL;CHLORKRESOL;
329;CHLORPHENAMINI MALEAS;CHLORPHENAMINE MALEATE;CHLORFENAMIN-MALEIN¡T;
333;CHLORPROTHIXENI HYDROCHLORIDUM;CHLORPROTHIXENE HYDROCHLORIDE;CHLORPROTHIXEN-HYDROCHLORID;
334;CHLORQUINALDOLUM;CHLORQUINALDOL;CHLORCHINALDOL;
335;CHLORTALIDONUM;CHLORTALIDONE;CHLORTALIDON;
341;ACIDUM CHOLICUM;CHOLIC ACID;KYSELINA CHOLOV¡;
346;CHOLINI SALICYLAS;CHOLINE SALICYLATE;CHOLIN-SALICYL¡T;
350;CHYMOTRYPSINUM;CHYMOTRYPSIN;CHYMOTRYPSIN;
354;CINCHOCAINI HYDROCHLORIDUM;CINCHOCAINE HYDROCHLORIDE;CINCHOKAIN-HYDROCHLORID;
362;CINNAMOMI CORTEX;CINNAMON;SKOÿICOVNÕKOV¡ KŸRA;
363;CINNARIZINUM;CINNARIZINE;CINARIZIN;
366;ACIDUM CITRICUM MONOHYDRICUM;CITRIC ACID MONOHYDRATE;MONOHYDR¡T KYSELINY CITRONOV…;
370;CLIOQUINOLUM;CLIOQUINOL;KLIOCHINOL;
374;CLONIDINI HYDROCHLORIDUM;CLONIDINE HYDROCHLORIDE;KLONIDIN-HYDROCHLORID;
380;CARYOPHYLLI FLOS;CLOVE;HÿEBÕ»KOVCOV› KVÃT;
393;BREXUCABTAGENUM AUTOLEUCELUM;BREXUCABTAGENE AUTOLEUCEL;BREXUKABTAGEN AUTOLEUCEL;
397;CODEINI PHOSPHAS SESQUIHYDRICUS;CODEINE PHOSPHATE SESQUIHYDRATE;SESKVIHYDR¡T KODEIN-FOSF¡TU;2
400;COLCHICINUM;COLCHICINE;KOLCHICIN;
402;COLECALCIFEROLUM;COLECALCIFEROL;CHOLEKALCIFEROL;
404;COLISTIMETHATUM NATRICUM;COLISTIMETHATE SODIUM;SODN¡ SŸL KOLISTIMETH¡TU;
405;COLLAGENASUM;COLLAGENASE;KOLAGENASA;
410;CUPRI CHLORIDUM DIHYDRICUM;COPPER CHLORIDE DIHYDRATE;DIHYDR¡T CHLORIDU MÃœNAT…HO;
425;CYANOCOBALAMINUM;CYANOCOBALAMIN;KYANOKOBALAMIN;
434;CYPROHEPTADINI HYDROCHLORIDUM;CYPROHEPTADINE HYDROCHLORIDE;CYPROHEPTADIN-HYDROCHLORID;
435;CYSTEINUM;CYSTEINE;CYSTEIN;
436;CYSTEINI HYDROCHLORIDUM MONOHYDRICUM;CYSTEINE HYDROCHLORIDE MONOHYDRATE;MONOHYDR¡T CYSTEIN-HYDROCHLORIDU;
451;DEXAMETHASONUM;DEXAMETHASONE;DEXAMETHASON;
453;DEXAMETHASONI NATRII PHOSPHAS;DEXAMETHASONE SODIUM PHOSPHATE;SODN¡ SŸL DEXAMETHASON-FOSF¡TU;
456;DEXAMFETAMINUM;DEXAMFETAMINE;DEXAMFETAMIN;5
458;ELRANATAMABUM;ELRANATAMAB;ELRANATAMAB;
461;LEVONORGESTRELUM;LEVONORGESTREL;LEVONORGESTREL;
462;DEXPANTHENOLUM;DEXPANTHENOL;DEXPANTHENOL;
467;DEXTROMETHORPHANI HYDROBROMIDUM MONOHYDRICUM;DEXTROMETHORPHAN HYDROBROMIDE MONOHYDRATE;MONOHYDR¡T DEXTROMETHORFAN-HYDROBROMIDU;
473;DIAZEPAMUM;DIAZEPAM;DIAZEPAM;7
477;MAGNESII OXIDUM LEVE;MAGNESIUM OXIDE, LIGHT;LEHK› OXID HOÿE»NAT›;
480;MAGNESII OXIDUM PONDEROSUM;MAGNESIUM OXIDE, HEAVY;TÃéK› OXID HOÿE»NAT›;
482;DIETHYLAMINI SALICYLAS;DIETHYLAMINE SALICYLATE;DIETHYLAMIN-SALICYL¡T;
485;DIGOXINUM;DIGOXIN;DIGOXIN;
488;DIHYDROCODEINI TARTRAS;DIHYDROCODEINE HYDROGEN TARTRATE;DIHYDROKODEIN-TARTAR¡T;2
495;ETUVETIDIGENUM AUTOTEMCELUM;ETUVETIDIGENE AUTOTEMCEL;ETUVETIDIGEN AUTOTEMCEL;
498;DIMENHYDRINATUM;DIMENHYDRINATE;DIMENHYDRIN¡T;
504;SIMETICONUM;SIMETICONE;SIMETIKON;
505;DIMETINDENI MALEAS;DIMETINDENE MALEATE;DIMETINDEN-MALEIN¡T;
510;DIPHENHYDRAMINI HYDROCHLORIDUM;DIPHENHYDRAMINE HYDROCHLORIDE;DIFENHYDRAMIN-HYDROCHLORID;
512;DIPHENOXYLATI HYDROCHLORIDUM;DIPHENOXYLATE HYDROCHLORIDE;DIFENOXYL¡T-HYDROCHLORID;1
518;DINATRII CROMOGLICAS;SODIUM CROMOGLICATE;DINATRIUM-CHROMOGLYK¡T;
519;DINATRII EDETAS DIHYDRICUS;DISODIUM EDETATE DIHYDRATE;DIHYDR¡T DINATRIUM-EDET¡TU;
522;LAUROMACROGOLUM 400;LAUROMACROGOL 400;LAUROMAKROGOL 400;
524;DOXYLAMINI HYDROGENOSUCCINAS;DOXYLAMINE HYDROGEN SUCCINATE;DOXYLAMIN-HYDROGEN-SUKCIN¡T;
539;EPHEDRINI HYDROCHLORIDUM;EPHEDRINE HYDROCHLORIDE;EFEDRIN-HYDROCHLORID;P
543;EPINEPHRINUM;EPINEPHRINE;EPINEFRIN;
544;EPINEPHRINI TARTRAS;EPINEPHRINE TARTRATE;EPINEFRIN-TARTAR¡T;
545;EPINEPHRINI HYDROCHLORIDUM;EPINEPHRINE HYDROCHLORIDE;EPINEFRIN-HYDROCHLORID;
547;ERGOCALCIFEROLUM;ERGOCALCIFEROL;ERGOKALCIFEROL;
552;ERYTHROMYCINUM;ERYTHROMYCIN;ERYTHROMYCIN;
553;ESCHERICHIA COLI CRYODESICCATA;FREEZE-DRIED ESCHERICHIA COLI;LYOFILIZOVAN¡ ESCHERICHIA COLI;
554;ESCINUM;ESCIN;ESCIN;
555;ESCULINUM SESQUIHYDRICUM;ESCULIN SESQUIHYDRATE;SESKVIHYDR¡T ESKULINU;
558;ESTRADIOLUM;ESTRADIOL;ESTRADIOL;
559;ESTRADIOLI BENZOAS;ESTRADIOL BENZOATE;ESTRADIOL-BENZO¡T;
564;ESTRADIOLI VALERAS;ESTRADIOL VALERATE;ESTRADIOL-VALER¡T;
565;ESTROGENA CONIUGATA;ESTROGENS, CONJUGATED;KONJUGOVAN… ESTROGENY;
571;ETHAMBUTOLI DIHYDROCHLORIDUM;ETHAMBUTOL DIHYDROCHLORIDE;ETHAMBUTOL-DIHYDROCHLORID;
578;ETHINYLESTRADIOLUM;ETHINYLESTRADIOL;ETHINYLESTRADIOL;
581;BENZOCAINUM;BENZOCAINE;BENZOKAIN;
588;ALPRAZOLAMUM;ALPRAZOLAM;ALPRAZOLAM;7
595;ETOFYLLINUM;ETOFYLLINE;ETOFYLIN;
597;CINEOLUM;CINEOLE;CINEOL;
598;EUCALYPTI ETHEROLEUM;EUCALYPTUS OIL;BLAHOVI»NÕKOV¡ SILICE;
611;FENPIVERINII BROMIDUM;FENPIVERINIUM BROMIDE;FENPIVERINIUM-BROMID;
612;FENTANYLI CITRAS;FENTANYL CITRATE;FENTANYL-CITR¡T;1
615;FERRI CHLORIDUM HEXAHYDRICUM;FERRIC CHLORIDE HEXAHYDRATE;HEXAHYDR¡T CHLORIDU éELEZIT…HO;
622;FERROSI FUMARAS;FERROUS FUMARATE;FERRUM(II)-FUMAR¡T;
623;FERRI NATRII GLUCONAS;FERRIC SODIUM GLUCONATE COMPLEX;NATRIUM-FERRUM(III)-GLUKON¡T;
628;FERROSI SULFAS HYDRICUS;FERROUS SULFATE HYDRATE;HYDR¡T SÕRANU éELEZNAT…HO;
632;FLUCLOXACILLINUM;FLUCLOXACILLIN;FLUKLOXACILIN;
635;FLUOCINOLONI ACETONIDUM;FLUOCINOLONE ACETONIDE;FLUOCINOLON-ACETONID;
640;FLUORESCEINUM NATRICUM;FLUORESCEIN SODIUM;SODN¡ SŸL FLUORESCEINU;
641;FLUPENTIXOLI DIHYDROCHLORIDUM;FLUPENTIXOL DIHYDROCHLORIDE;FLUPENTIXOL-DIHYDROCHLORID;
644;ACIDUM FOLICUM;FOLIC ACID;KYSELINA LISTOV¡;
646;FRANGULAE CORTEX;FRANGULA BARK;KRUäINOV¡ KŸRA;
651;FUROSEMIDUM;FUROSEMIDE;FUROSEMID;
655;GENTAMICINUM;GENTAMICIN;GENTAMICIN;
656;GENTAMICINI SULFAS;GENTAMICIN SULFATE;GENTAMICIN-SULF¡T;
657;GENTIANAE RADIX;GENTIAN ROOT;HOÿCOV› KOÿEN;
660;ZINGIBERIS RHIZOMA;GINGER;Z¡ZVOROV› ODDENEK;
662;GLUCOSAMINI HYDROCHLORIDUM;GLUCOSAMINE HYDROCHLORIDE;GLUKOSAMIN-HYDROCHLORID;
663;GLUCOSUM;GLUCOSE;GLUKOSA;
665;ACIDUM GLUTAMICUM;GLUTAMIC ACID;KYSELINA GLUTAMOV¡;
669;GLYCEROLI TRINITRAS;GLYCERYL TRINITRATE;GLYCEROL-TRINITR¡T;
671;HYDROXYETHYLIS SALICYLAS;HYDROXYETHYL SALICYLATE;HYDROXYETHYL-SALICYL¡T;
684;GUAIFENESINUM;GUAIFENESIN;GUAIFENESIN;
689;HALOPERIDOLUM;HALOPERIDOL;HALOPERIDOL;
701;HEPARINUM NATRICUM;HEPARIN SODIUM;SODN¡ SŸL HEPARINU;
705;POLYGONI AVICULARIS HERBA;KNOTGRASS;NAç RDESNA PTA»ÕHO;
707;HESPERIDINUM;HESPERIDIN;HESPERIDIN;
709;HESPERIDINI METHYLCHALCONUM;HESPERIDIN METHYLCHALCONE;HESPERIDIN-METHYLCHALKON;
717;HISTIDINUM;HISTIDINE;HISTIDIN;
727;ACIDUM HYDROCHLORICUM 25%;HYDROCHLORIC ACID 25 PER CENT (M/M);KYSELINA CHLOROVODÕKOV¡ 25%;
728;HYDROCHLOROTHIAZIDUM;HYDROCHLOROTHIAZIDE;HYDROCHLOROTHIAZID;
731;HYDROCORTISONUM;HYDROCORTISONE;HYDROKORTISON;
732;HYDROCORTISONI ACETAS;HYDROCORTISONE ACETATE;HYDROKORTISON-ACET¡T;
734;HYDROMORPHONI HYDROCHLORIDUM;HYDROMORPHONE HYDROCHLORIDE;HYDROMORFON-HYDROCHLORID;1
735;HYDROTALCITUM;HYDROTALCITE;HYDROTALCIT;B
736;HYDROXOCOBALAMINUM;HYDROXOCOBALAMIN;HYDROXOKOBALAMIN;
741;HYDROXYCHLOROQUINI SULFAS;HYDROXYCHLOROQUINE SULFATE;HYDROXYCHLOROCHIN-SULF¡T;
749;HYDROXYZINI DIHYDROCHLORIDUM;HYDROXYZINE HYDROCHLORIDE;HYDROXYZIN-DIHYDROCHLORID;
753;BUTYLSCOPOLAMINII BROMIDUM;HYOSCINE BUTYLBROMIDE;BUTYLSKOPOLAMINIUM-BROMID;
765;IMIPRAMINI HYDROCHLORIDUM;IMIPRAMINE HYDROCHLORIDE;IMIPRAMIN-HYDROCHLORID;
767;INDOMETACINUM;INDOMETACIN;INDOMETACIN;
773;IODUM;IODINE;JOD;
789;OLEZARSENUM;OLEZARSEN;OLEZARSEN;
790;ISOLEUCINUM;ISOLEUCINE;ISOLEUCIN;
792;ISONIAZIDUM;ISONIAZID;ISONIAZID;
793;ISOPRENALINI HYDROCHLORIDUM;ISOPRENALINE HYDROCHLORIDE;ISOPRENALIN-HYDROCHLORID;
800;ISOSORBIDI DINITRAS;ISOSORBIDE DINITRATE;ISOSORBID-DINITR¡T;
807;LACTOBACILLUS HELVETICUS;LACTOBACILLUS HELVETICUS;LACTOBACILLUS HELVETICUS;
809;ACIDUM LACTICUM;LACTIC ACID;KYSELINA ML…»N¡;
810;LACTOBACILLUS ACIDOPHILUS CRYODESICCATUS;FREEZE-DRIED LACTOBACILLUS ACIDOPHILUS;LYOFILIZOVAN› LACTOBACILLUS ACIDOPHILUS;
812;LACTICASEIBACILLUS RHAMNOSUS;LACTICASEIBACILLUS RHAMNOSUS;LACTICASEIBACILLUS RHAMNOSUS;
825;NOREPINEPHRINUM;NOREPINEPHRINE;NOREPINEFRIN;
826;NOREPINEPHRINI TARTRAS MONOHYDRICUS;NOREPINEPHRINE TARTRATE MONOHYDRATE;MONOHYDR¡T NOREPINEFRIN-TARTAR¡TU;
828;LEVOTHYROXINUM NATRICUM;LEVOTHYROXINE SODIUM;SODN¡ SŸL LEVOTHYROXINU;
829;LEUCINUM;LEUCINE;LEUCIN;
830;LIDOCAINUM;LIDOCAINE;LIDOKAIN;
831;LIDOCAINI HYDROCHLORIDUM MONOHYDRICUM;LIDOCAINE HYDROCHLORIDE MONOHYDRATE;MONOHYDR¡T LIDOKAIN-HYDROCHLORIDU;
834;LIPASUM;LIPASE;LIPASA;
835;LIQUIRITIAE RADIX;LIQUORICE ROOT;L…KOÿICOV› KOÿEN;
836;LIQUIRITIAE EXTRACTUM FLUIDUM;LIQUORICE LIQUID EXTRACT;TEKUT› L…KOÿICOV› EXTRAKT;
837;PIRTOBRUTINIBUM;PIRTOBRUTINIB;PIRTOBRUTINIB;
849;LYNESTRENOLUM;LYNESTRENOL;LYNESTRENOL;
851;LYSINI HYDROCHLORIDUM;LYSINE HYDROCHLORIDE;LYSIN-HYDROCHLORID;
856;MAGNESII CHLORIDUM HEXAHYDRICUM;MAGNESIUM CHLORIDE HEXAHYDRATE;HEXAHYDR¡T CHLORIDU HOÿE»NAT…HO;
858;MAGNESII HYDROXIDUM;MAGNESIUM HYDROXIDE;HYDROXID HOÿE»NAT›;
862;MAGNESII OXIDUM;MAGNESIUM OXIDE;OXID HOÿE»NAT›;
864;MAGNESII SULFAS HEPTAHYDRICUS;MAGNESIUM SULFATE HEPTAHYDRATE;HEPTAHYDR¡T SÕRANU HOÿE»NAT…HO;
867;ACIDUM L-MALICUM;L-MALIC ACID;KYSELINA JABLE»N¡, L-FORMA;
875;MANNITOLUM;MANNITOL;MANNITOL;
882;MEDROXYPROGESTERONI ACETAS;MEDROXYPROGESTERONE ACETATE;MEDROXYPROGESTERON-ACET¡T;
885;MEGESTROLI ACETAS;MEGESTROL ACETATE;MEGESTROL-ACET¡T;
887;MEGLUMINUM;MEGLUMINE;MEGLUMIN;
901;MEPHENOXALONUM;MEPHENOXALONE;MEFENOXALON;
904;MEPIVACAINI HYDROCHLORIDUM;MEPIVACAINE HYDROCHLORIDE;MEPIVAKAIN-HYDROCHLORID;
910;SEBETRALSTATUM;SEBETRALSTAT;SEBETRALSTAT;
929;METHYLDOPUM;METHYLDOPA;METHYLDOPA;
934;METHYLPARABENUM;METHYL PARAHYDROXYBENZOATE;METHYLPARABEN;
936;METHYLPHENIDATI HYDROCHLORIDUM;METHYLPHENIDATE HYDROCHLORIDE;METHYLFENID¡T-HYDROCHLORID;5
937;METHYLPREDNISOLONUM;METHYLPREDNISOLONE;METHYLPREDNISOLON;
938;METHYLPREDNISOLONI ACETAS;METHYLPREDNISOLONE ACETATE;METHYLPREDNISOLON-ACET¡T;
942;METHYLTHIONINII CHLORIDUM;METHYLTHIONINIUM CHLORIDE;METHYLTHIONINIUM-CHLORID;
943;METRONIDAZOLUM;METRONIDAZOLE;METRONIDAZOL;
950;MORPHINUM;MORPHINE;MORFIN;1
951;MORPHINI HYDROCHLORIDUM TRIHYDRICUM;MORPHINE HYDROCHLORIDE TRIHYDRATE;TRIHYDR¡T MORFIN-HYDROCHLORIDU;1
952;MORPHINI HEMISULFAS DIHEMIHYDRICUS;MORPHINE HEMISULFATE 2.5-HYDRATE;DIHEMIHYDR¡T MORFIN-HEMISULF¡TU;1
955;MYRISTICAE SEMEN;NUTMEG;MUäK¡TOVNÕKOV… SEMENO;
960;NATAMYCINUM;NATAMYCIN;NATAMYCIN;
962;NEOMYCINUM;NEOMYCIN;NEOMYCIN;
965;NEOMYCINI SULFAS;NEOMYCIN SULFATE;NEOMYCIN-SULF¡T;
967;NEOSTIGMINI BROMIDUM;NEOSTIGMINE BROMIDE;NEOSTIGMINIUM-BROMID;
970;NICOTINAMIDUM;NICOTINAMIDE;NIKOTINAMID;
981;NITROFURANTOINUM;NITROFURANTOIN;NITROFURANTOIN;
990;METAMIZOLUM NATRICUM MONOHYDRICUM;METAMIZOLE SODIUM MONOHYDRATE;MONOHYDR¡T SODN… SOLI METAMIZOLU;
992;NORETHISTERONI ACETAS;NORETHISTERONE ACETATE;NORETHISTERON-ACET¡T;
996;NATRII LACTATIS S SOLUTIO;SODIUM (S)-LACTATE SOLUTION;ROZTOK NATRIUM S LAKT¡TU;
1002;NORTRIPTYLINI HYDROCHLORIDUM;NORTRIPTYLINE HYDROCHLORIDE;NORTRIPTYLIN-HYDROCHLORID;
1009;NYSTATINUM;NYSTATIN;NYSTATIN;
1017;ONONIDIS RADIX;RESTHARROW ROOT;JEHLICOV› KOÿEN;
1021;OPII TINCTURA NORMATA;OPIUM TINCTURE, STANDARDISED;STANDARDIZOVAN¡ OPIOV¡ TINKTURA;1
1027;ORPHENADRINI CITRAS;ORPHENADRINE CITRATE;ORFENADRIN-CITR¡T;
1033;OXAZEPAMUM;OXAZEPAM;OXAZEPAM;7
1038;OXYBUPROCAINI HYDROCHLORIDUM;OXYBUPROCAINE HYDROCHLORIDE;OXYBUPROKAIN-HYDROCHLORID;
1039;OXYCODONUM;OXYCODONE;OXYKODON;1
1045;OXYMETAZOLINI HYDROCHLORIDUM;OXYMETAZOLINE HYDROCHLORIDE;OXYMETAZOLIN-HYDROCHLORID;
1055;OXYTOCINUM;OXYTOCIN;OXYTOCIN;
1061;PAPAINUM;PAPAIN;PAPAIN;
1064;PARACETAMOLUM;PARACETAMOL;PARACETAMOL;
1065;PARAFFINUM LIQUIDUM;PARAFFIN, LIQUID;TEKUT› PARAFIN;
1068;PASSIFLORAE HERBA;PASSIONFLOWER HERB;MU»ENKOV¡ NAç;
1080;MENTHAE PIPERITAE ETHEROLEUM;PEPPERMINT OIL;SILICE M¡TY PEPRN…;
1085;BALSAMUM PERUVIANUM;PERU BALSAM;PERU¡NSK› BALZ¡M;
1087;PETHIDINI HYDROCHLORIDUM;PETHIDINE HYDROCHLORIDE;PETHIDIN-HYDROCHLORID;1
